feature1,feature2,feature3,label
0.6681,0.1409,0.1255,1
0.1684,0.2626,0.7244,1
0.1737,0.7613,0.2346,0
0.5056,0.3202,0.3810,0
0.5175,0.0353,0.8141,1
0.3975,0.1522,0.0901,1
0.8162,0.5400,0.0441,1
0.1478,0.9062,0.6926,1
0.1864,0.0415,0.3082,1
0.8211,0.0040,0.5357,1
0.7484,0.3846,0.1491,0
0.0510,0.7816,0.6265,0
0.2500,0.7724,0.2896,1
0.1436,0.0445,0.6046,1
0.0508,0.4204,0.7066,1
0.2184,0.0133,0.3652,0
0.0687,0.7182,0.0709,0
0.0120,0.7978,0.4392,1
0.4996,0.0090,0.8288,0
0.0031,0.0638,0.6541,0
0.9135,0.9290,0.4612,0
0.6166,0.0444,0.3728,0
0.4370,0.7923,0.5324,0
0.2974,0.9073,0.5867,1
0.0194,0.8817,0.9577,0
0.7107,0.1624,0.1031,0
0.3332,0.7761,0.1485,0
0.2157,0.5917,0.5128,1
0.7662,0.6720,0.7149,0
0.5521,0.9898,0.6508,0
