dataset,method,epsilon,seed,syn_path,run_dir,privacy_adv_primary
C,DP-Diffusion+DP-CR,5.000000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed1\train3.0_repair2.0,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0,0.499999999999
C,DP-Diffusion,0.700000000000,42,outputs\C\dp_diffusion\seed42\train0.7\synth.csv,outputs\C\dp_diffusion\seed42\train0.7,0.499999999999
C,DP-Diffusion,1.000000000000,42,outputs\C\dp_diffusion\seed42\train1.0\synth.csv,outputs\C\dp_diffusion\seed42\train1.0,0.499999999999
C,DP-Diffusion,4.000000000000,42,outputs\C\dp_diffusion\seed42\train4.0\synth.csv,outputs\C\dp_diffusion\seed42\train4.0,0.499999999999
C,DP-Diffusion,0.500000000000,42,outputs\C\dp_diffusion\seed42\train0.5\synth.csv,outputs\C\dp_diffusion\seed42\train0.5,0.499999999999
C,DP-Diffusion,3.000000000000,42,outputs\C\dp_diffusion\seed42\train3.0\synth.csv,outputs\C\dp_diffusion\seed42\train3.0,0.499999999999
C,DP-Diffusion,5.000000000000,42,outputs\C\dp_diffusion\seed42\train5.0\synth.csv,outputs\C\dp_diffusion\seed42\train5.0,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,43,outputs\C\dp_diffusion_dpcr\seed43\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed43\train3.0_repair2.0,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,44,outputs\C\dp_diffusion_dpcr\seed44\train0.7_repair0.3\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed44\train0.7_repair0.3,0.499999999999
A,DP-Diffusion+DP-CR,1.500000000000,6,outputs\A\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed6\train1.0_repair0.5,0.000241516725
A,DP-Diffusion+DP-CR,1.000000000000,8,outputs\A\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed8\train0.5_repair0.5,0.001418910760
A,DP-Diffusion+DP-CR,1.500000000000,7,outputs\A\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed7\train1.0_repair0.5,0.002928390291
A,DP-Diffusion,3.000000000000,456,outputs\A\dp_diffusion\seed456\train3.0\synth.csv,outputs\A\dp_diffusion\seed456\train3.0,0.004075594735
A,DP-Diffusion+DP-CR,5.000000000000,12,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0,0.004830334501
A,DP-Diffusion+DP-CR,1.000000000000,43,outputs\A\dp_diffusion_dpcr\seed43\train0.5_repair0.5\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed43\train0.5_repair0.5,0.005826590991
A,DP-Diffusion+DP-CR,5.000000000000,42,outputs\A\dp_diffusion_dpcr\seed42\train3.0_repair2.0\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed42\train3.0_repair2.0,0.007517208067
A,DP-Diffusion+DP-CR,5.000000000000,5,outputs\A\dp_diffusion_dpcr\seed5\train3.0_repair2.0\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed5\train3.0_repair2.0,0.008875739645
A,DP-Diffusion+DP-CR,1.500000000000,12,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5,0.009871996136
A,DP-Diffusion+DP-CR,1.500000000000,1,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth_unrepaired.csv,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5,0.010536167130
