dataset,method,epsilon,seed,syn_path,run_dir,utility_main,privacy_main
A,DP-Diffusion+DP-CR,1.000000000000,0,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5,,0.038733244777
A,DP-Diffusion+DP-CR,1.500000000000,1,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5,,0.035895423258
A,DP-Diffusion+DP-CR,1.000000000000,1,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5,,0.036921869339
A,DP-Diffusion+DP-CR,5.000000000000,0,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0,,0.038250211327
A,DP-Diffusion+DP-CR,1.500000000000,0,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5,,0.037103006883
C,DP-Diffusion+DP-CR,5.000000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed9\train3.0_repair2.0,,0.499999999999
A,DP-Diffusion+DP-CR,1.500000000000,10,outputs\A\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train1.0_repair0.5,,0.037374713199
A,DP-Diffusion+DP-CR,1.000000000000,10,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5,,0.035835044077
A,DP-Diffusion+DP-CR,5.000000000000,1,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0,,0.036408646299
A,DP-Diffusion+DP-CR,5.000000000000,1,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0,,0.035201062674
