dataset,method,epsilon,seed,repaired_flag,run_dir,syn_path,mia_auc,knn_mia_auc,delta_abs
C,DP-Diffusion,1.000000000000,42,,outputs\C\dp_diffusion\seed42\train1.0,outputs\C\dp_diffusion\seed42\train1.0\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,9,False,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,5,False,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,6,False,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,7,False,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,4,False,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,8,False,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,0,True,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,1,True,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,10,True,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,3,True,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,2,True,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,4,True,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,5,True,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,6,True,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,7,True,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,8,True,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,9,True,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,2,False,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,10,False,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,0,False,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,1,False,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.000000000000,3,False,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,9,False,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,6,False,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,7,False,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,8,False,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,5,False,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,4,False,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,11,True,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,0,True,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,1,True,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,10,True,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,2,True,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,12,True,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,3,True,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,4,True,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,5,True,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,7,True,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,6,True,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,8,True,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,9,True,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,2,False,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,10,False,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,11,False,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,0,False,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,1,False,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,3,False,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,1.500000000000,12,False,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
C,DP-Diffusion+DP-CR,5.000000000000,9,False,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0\synth_unrepaired.csv,1.000000000000,0.999999999999,0.000000000001
