dataset,method,epsilon,seed,run_dir,syn_path,mia_auc,knn_mia_auc,_mia_source_file,_mia_source_col,_knn_source_file,_knn_source_col
C,DP-Diffusion,1.000000000000,42,outputs\C\dp_diffusion\seed42\train1.0,outputs\C\dp_diffusion\seed42\train1.0\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,0,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,10,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,3,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,2,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,2,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,10,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,0,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.000000000000,3,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,9,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth_unrepaired.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
C,DP-Diffusion+DP-CR,1.500000000000,11,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,1.000000000000,0.999999999999,outputs/mia_results_clean.csv,mia_auc,outputs/knn_mia_results.csv,knn_mia_auc
