match_quality,base_dataset,base_method,base_epsilon,base_repaired_flag,base_synth_kind,base_utility_mean,base_utility_std,base_utility_main_n,base_utility_acc_mean,base_utility_acc_std,base_tstr_acc_n,base_mia_auc_mean,base_mia_auc_std,base_mia_auc_n,base_knn_mia_auc_mean,base_knn_mia_auc_std,base_knn_mia_auc_n,base_mia_adv_fix_mean,base_mia_adv_fix_std,base_mia_adv_fix_n,base_knn_mia_adv_fix_mean,base_knn_mia_adv_fix_std,base_knn_mia_adv_fix_n,base_corr_mean,base_corr_std,base_pearson_mad_n,base_n_seeds,base_utility_winner,base_privacy_winner,base_pareto_winner,base_delta_vs_baseline_utility,base_delta_vs_baseline_privacy,base_seed,base_epsilon_train,base_utility,base_mia_adv,base_knn_adv,variant_dataset,variant_method,variant_epsilon,variant_repaired_flag,variant_synth_kind,variant_utility_mean,variant_utility_std,variant_utility_main_n,variant_utility_acc_mean,variant_utility_acc_std,variant_tstr_acc_n,variant_mia_auc_mean,variant_mia_auc_std,variant_mia_auc_n,variant_knn_mia_auc_mean,variant_knn_mia_auc_std,variant_knn_mia_auc_n,variant_mia_adv_fix_mean,variant_mia_adv_fix_std,variant_mia_adv_fix_n,variant_knn_mia_adv_fix_mean,variant_knn_mia_adv_fix_std,variant_knn_mia_adv_fix_n,variant_corr_mean,variant_corr_std,variant_pearson_mad_n,variant_n_seeds,variant_utility_winner,variant_privacy_winner,variant_pareto_winner,variant_delta_vs_baseline_utility,variant_delta_vs_baseline_privacy,variant_seed,variant_epsilon_train,variant_utility,variant_mia_adv,variant_knn_adv,delta_utility,delta_mia,delta_knn
unmatched,A,DP-Diffusion,0.700000000000,,,0.500000000000,,1,0.626373626374,,1,0.469896964634,0.073907661221,3,0.540001207584,0.018494740496,3,0.065023670287,0.021897829759,3,0.040001207584,0.018494740496,3,0.384308040860,,1,1,0,0,0,0.000000000000,,1,0.700000000000,0.500000000000,0.065023670287,0.040001207584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed_eps_only,A,DP-Diffusion,1.000000000000,,,0.500000000000,,1,0.626373626374,,1,1.000000000000,,1,0.517389204202,,1,0.500000000000,,1,0.017389204202,,1,0.390164676262,,1,1,0,0,0,0.000000000000,,1,1.000000000000,0.500000000000,0.500000000000,0.017389204202,A,DP-Diffusion+DP-CR,1.000000000000,False,,0.500000000000,0.000000000000,4.000000000000,0.626373626374,0.000000000000,4.000000000000,0.161029320998,0.287288457152,15.000000000000,0.533293080546,0.020860483466,15.000000000000,0.401346781316,0.181818874126,15.000000000000,0.033293080546,0.020860483466,15.000000000000,0.391585304466,0.006490156733,4.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,1.000000000000,1.000000000000,0.500000000000,0.401346781316,0.033293080546,0.000000000000,-0.098653218684,0.015903876344
unmatched,A,DP-Diffusion,3.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.466666666667,0.093798645732,3,0.536036308014,0.028362254112,3,0.080952380953,0.025197631534,3,0.036036308014,0.028362254112,3,0.384300633459,,1,1,0,0,0,0.000000000000,,1,3.000000000000,0.500000000000,0.080952380953,0.036036308014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed_eps_only,A,DP-Diffusion,5.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.600000000000,,1,0.527080062794,,1,0.100000000000,,1,0.027080062794,,1,0.386761922170,,1,1,0,0,0,0.000000000000,,1,5.000000000000,0.500000000000,0.100000000000,0.027080062794,A,DP-Diffusion+DP-CR,5.000000000000,False,,0.500000000000,0.000000000000,4.000000000000,0.626373626374,0.000000000000,4.000000000000,0.076190476190,0.192074423581,28.000000000000,0.538796858557,0.022375972288,28.000000000000,0.438775510204,0.153313473172,28.000000000000,0.038796858557,0.022375972288,28.000000000000,0.391570594572,0.006430716809,4.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,1.000000000000,5.000000000000,0.500000000000,0.438775510204,0.038796858557,0.000000000000,0.338775510204,0.011716795763
unmatched,B,DP-Diffusion,0.700000000000,,,0.500000000000,,1,0.496875000000,,1,0.563838903170,0.003926800081,3,0.597089029948,0.118252174738,3,0.063838903170,0.003926800081,3,0.097089029948,0.118252174738,3,0.028030203339,,1,1,0,0,0,-0.077385835384,,1,0.700000000000,0.500000000000,0.063838903170,0.097089029948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed_eps_only,B,DP-Diffusion,1.000000000000,,,0.500000000000,,1,0.496875000000,,1,0.000000000000,,1,0.530798339844,,1,0.500000000000,,1,0.030798339844,,1,0.028184750408,,1,1,0,0,0,-0.077385835384,,1,1.000000000000,0.500000000000,0.500000000000,0.030798339844,B,DP-Diffusion+DP-CR,1.000000000000,False,,0.500000000000,0.000000000000,4.000000000000,0.496875000000,0.000000000000,4.000000000000,0.770565552699,0.264946787449,4.000000000000,0.600756835938,0.136292353137,4.000000000000,0.270565552699,0.264946787449,4.000000000000,0.100756835938,0.136292353137,4.000000000000,0.074607840192,0.054046066935,4.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.077385835384,,1.000000000000,1.000000000000,0.500000000000,0.270565552699,0.100756835938,0.000000000000,-0.229434447301,0.069958496094
unmatched,B,DP-Diffusion,3.000000000000,,,0.500000000000,,1,0.496875000000,,1,0.552699228792,0.027205669008,3,0.593012695313,0.070148918771,3,0.052699228792,0.027205669008,3,0.093012695313,0.070148918771,3,0.028087824192,,1,1,0,0,0,-0.077385835384,,1,3.000000000000,0.500000000000,0.052699228792,0.093012695313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed_eps_only,B,DP-Diffusion,5.000000000000,,,0.500000000000,,1,0.496875000000,,1,0.573264781491,,1,0.599899902344,,1,0.073264781491,,1,0.099899902344,,1,0.028741141444,,1,1,0,0,0,-0.077385835384,,1,5.000000000000,0.500000000000,0.073264781491,0.099899902344,B,DP-Diffusion+DP-CR,5.000000000000,False,,0.500000000000,0.000000000000,4.000000000000,0.496875000000,0.000000000000,4.000000000000,0.774421593831,0.260494534444,4.000000000000,0.646712036133,0.125765699328,4.000000000000,0.274421593831,0.260494534444,4.000000000000,0.146712036133,0.125765699328,4.000000000000,0.086634757077,0.067265647106,4.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.077385835384,,1.000000000000,5.000000000000,0.500000000000,0.274421593831,0.146712036133,0.000000000000,0.201156812340,0.046812133789
unmatched,C,DP-Diffusion,0.500000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112182189106,,1,1,0,0,0,0.000000000000,,1,0.500000000000,0.333333333333,0.500000000000,0.499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unmatched,C,DP-Diffusion,0.700000000000,,,0.333333333333,,1,0.343750000000,,1,0.000000000000,,1,0.999999999999,,1,0.500000000000,,1,0.499999999999,,1,0.112182287699,,1,1,0,0,0,0.000000000000,,1,0.700000000000,0.333333333333,0.500000000000,0.499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
