dataset,method,epsilon,repaired_flag,synth_kind,utility_mean,utility_std,utility_main_n,utility_acc_mean,utility_acc_std,tstr_acc_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,corr_mean,corr_std,pearson_mad_n,n_seeds,utility_winner,privacy_winner,pareto_winner,delta_vs_baseline_utility,delta_vs_baseline_privacy
A,DP-Diffusion,0.700000000000,,,0.500000000000,,1,0.626373626374,,1,0.469896964634,0.073907661221,3,0.540001207584,0.018494740496,3,0.065023670287,0.021897829759,3,0.040001207584,0.018494740496,3,0.384308040860,,1,1,0,0,0,0.000000000000,
A,DP-Diffusion,1.000000000000,,,0.500000000000,,1,0.626373626374,,1,1.000000000000,,1,0.517389204202,,1,0.500000000000,,1,0.017389204202,,1,0.390164676262,,1,1,0,0,0,0.000000000000,
A,DP-Diffusion,3.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.466666666667,0.093798645732,3,0.536036308014,0.028362254112,3,0.080952380953,0.025197631534,3,0.036036308014,0.028362254112,3,0.384300633459,,1,1,0,0,0,0.000000000000,
A,DP-Diffusion,5.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.600000000000,,1,0.527080062794,,1,0.100000000000,,1,0.027080062794,,1,0.386761922170,,1,1,0,0,0,0.000000000000,
A,DP-Diffusion+DP-CR,1.000000000000,False,,0.500000000000,0.000000000000,4,0.626373626374,0.000000000000,4,0.161029320998,0.287288457152,15,0.533293080546,0.020860483466,15,0.401346781316,0.181818874126,15,0.033293080546,0.020860483466,15,0.391585304466,0.006490156733,4,1,0,0,0,0.000000000000,
A,DP-Diffusion+DP-CR,1.000000000000,True,,0.597845717234,0.334869684669,4,0.631868131868,0.293566377587,4,0.255626926122,0.440456363962,15,0.537145272310,0.001376705862,15,0.488960259456,0.042733625441,15,0.037145272310,0.001376705862,15,0.385602091176,0.002863187643,4,1,0,0,0,0.097845717234,
A,DP-Diffusion+DP-CR,1.500000000000,False,,0.500000000000,,1,0.626373626374,,1,0.000000000000,0.000000000000,14,0.528401935584,0.020939640476,14,0.500000000000,0.000000000000,14,0.028401935584,0.020939640476,14,0.390164676262,,1,1,0,0,0,0.000000000000,
A,DP-Diffusion+DP-CR,1.500000000000,True,,0.393962848297,,1,0.307692307692,,1,0.000000000000,0.000000000000,14,0.537299239222,0.000887764308,14,0.500000000000,0.000000000000,14,0.037299239222,0.000887764308,14,0.386213751134,,1,1,0,0,0,-0.106037151703,
A,DP-Diffusion+DP-CR,5.000000000000,False,,0.500000000000,0.000000000000,4,0.626373626374,0.000000000000,4,0.076190476190,0.192074423581,28,0.538796858557,0.022375972288,28,0.438775510204,0.153313473172,28,0.038796858557,0.022375972288,28,0.391570594572,0.006430716809,4,1,0,0,0,0.000000000000,
A,DP-Diffusion+DP-CR,5.000000000000,True,,0.616228070175,0.272599411328,4,0.645604395604,0.230747426146,4,0.142857142857,0.356348322550,28,0.536643693826,0.001015547500,28,0.500000000000,0.000000000000,28,0.036643693826,0.001015547500,28,0.385200057178,0.002803213587,4,1,1,0,0,0.116228070175,
A,SDV-CTGAN,,,,0.391468868249,0.172809385141,3,0.351648351648,0.097672466124,3,0.000000000000,0.000000000000,3,0.535432516202,0.003257725885,3,0.500000000000,0.000000000000,3,0.035432516202,0.003257725885,3,0.384197210999,0.007083308440,3,1,0,0,0,-0.108531131751,
A,SDV-GaussianCopula,,,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,0.000000000000,0.000000000000,3,0.535774664896,0.000000000000,3,0.500000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.383441646708,0.000000000000,3,1,0,0,0,0.000000000000,
A,SDV-TVAE,,,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,0.000000000000,0.000000000000,3,0.535362073824,0.001782038456,3,0.500000000000,0.000000000000,3,0.035362073824,0.001782038456,3,0.385853563300,0.010097705720,3,1,0,0,0,0.000000000000,
