dataset,method,epsilon,repaired_flag,synth_kind,utility_mean,utility_std,utility_main_n,utility_acc_mean,utility_acc_std,tstr_acc_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,corr_mean,corr_std,pearson_mad_n,n_seeds,utility_winner,privacy_winner,pareto_winner,delta_vs_baseline_utility,delta_vs_baseline_privacy
B,DP-Diffusion,0.700000000000,,,0.500000000000,,1,0.496875000000,,1,0.563838903170,0.003926800081,3,0.597089029948,0.118252174738,3,0.063838903170,0.003926800081,3,0.097089029948,0.118252174738,3,0.028030203339,,1,1,0,0,0,-0.077385835384,
B,DP-Diffusion,1.000000000000,,,0.500000000000,,1,0.496875000000,,1,0.000000000000,,1,0.530798339844,,1,0.500000000000,,1,0.030798339844,,1,0.028184750408,,1,1,0,0,0,-0.077385835384,
B,DP-Diffusion,3.000000000000,,,0.500000000000,,1,0.496875000000,,1,0.552699228792,0.027205669008,3,0.593012695313,0.070148918771,3,0.052699228792,0.027205669008,3,0.093012695313,0.070148918771,3,0.028087824192,,1,1,0,0,0,-0.077385835384,
B,DP-Diffusion,5.000000000000,,,0.500000000000,,1,0.496875000000,,1,0.573264781491,,1,0.599899902344,,1,0.073264781491,,1,0.099899902344,,1,0.028741141444,,1,1,0,0,0,-0.077385835384,
B,DP-Diffusion+DP-CR,1.000000000000,False,,0.500000000000,0.000000000000,4,0.496875000000,0.000000000000,4,0.770565552699,0.264946787449,4,0.600756835938,0.136292353137,4,0.270565552699,0.264946787449,4,0.100756835938,0.136292353137,4,0.074607840192,0.054046066935,4,1,0,0,0,-0.077385835384,
B,DP-Diffusion+DP-CR,1.000000000000,True,,0.493578850736,0.028951391149,4,0.492968750000,0.028683687110,4,0.999689685345,0.000204940012,4,0.515960693359,0.000033975628,4,0.499689685345,0.000204940012,4,0.015960693359,0.000033975628,4,0.027789860503,0.000310694710,4,1,0,0,0,-0.083806984648,
B,DP-Diffusion+DP-CR,5.000000000000,False,,0.500000000000,0.000000000000,4,0.496875000000,0.000000000000,4,0.774421593831,0.260494534444,4,0.646712036133,0.125765699328,4,0.274421593831,0.260494534444,4,0.146712036133,0.125765699328,4,0.086634757077,0.067265647106,4,1,0,0,0,-0.077385835384,
B,DP-Diffusion+DP-CR,5.000000000000,True,,0.485184968163,0.022975716986,4,0.484375000000,0.022678688601,4,0.999638814089,0.000144138547,4,0.515988159180,0.000023448941,4,0.499638814089,0.000144138547,4,0.015988159180,0.000023448941,4,0.027872314169,0.000273719744,4,1,0,0,0,-0.092200867221,
B,SDV-CTGAN,,,,0.514453689597,0.027157316733,3,0.513541666667,0.025451649423,3,0.000000000000,0.000000000000,3,0.516079101563,0.000023289531,3,0.500000000000,0.000000000000,3,0.016079101562,0.000023289531,3,0.032588564049,0.001985641046,3,1,0,0,0,-0.062932145787,
B,SDV-GaussianCopula,,,,0.577385835384,0.000000000000,3,0.578125000000,0.000000000000,3,0.000000000000,0.000000000000,3,0.516040852865,0.000031863236,3,0.500000000000,0.000000000000,3,0.016040852865,0.000031863236,3,0.029732939870,0.000000000000,3,1,1,0,0,0.000000000000,
B,SDV-TVAE,,,,0.521810747816,0.013651889718,3,0.521875000000,0.013621559199,3,0.000000000000,0.000000000000,3,0.516026204427,0.000095068664,3,0.500000000000,0.000000000000,3,0.016026204427,0.000095068664,3,0.044875641856,0.000721426955,3,1,0,0,0,-0.055575087569,
