dataset,method,metric,mean,ci_lo,ci_hi,std,n
A,DP-Diffusion,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,4
A,DP-Diffusion,tstr_f1macro,0.385135135135,0.385135135135,0.385135135135,0.000000000000,4
A,DP-Diffusion,privacy_main,0.034072726724,0.021625652850,0.046208942157,0.019774408612,8
A,DP-Diffusion,pearson_mad,0.386383818188,0.384304337159,0.388700517412,0.002774068044,4
A,DP-Diffusion,mia_auc,0.551211361738,0.447610693400,0.695238095238,0.197698233115,8
A,DP-Diffusion,knn_mia_auc,0.534072726724,0.521625652850,0.546208942157,0.019774408612,8
A,DP-Diffusion,mia_adv_fix,0.129741019215,0.066645781120,0.238095238095,0.151143787581,8
A,DP-Diffusion,knn_mia_adv_fix,0.034072726724,0.021625652850,0.046208942157,0.019774408612,8
A,DP-Diffusion,privacy_adv_primary,0.034072726724,0.021625652850,0.046208942157,0.019774408612,8
A,DP-Diffusion+DP-CR,utility_main,0.541680999885,0.460615898406,0.632657880404,0.192758276396,18
A,DP-Diffusion+DP-CR,tstr_f1macro,0.470228539043,0.380683571448,0.574754598950,0.218460715478,18
A,DP-Diffusion+DP-CR,privacy_main,0.035866028130,0.033030616482,0.038652520725,0.015332727230,114
A,DP-Diffusion+DP-CR,pearson_mad,0.388456145387,0.386313275363,0.390849631682,0.005198983969,18
A,DP-Diffusion+DP-CR,mia_auc,0.108624360001,0.061314360463,0.164585815293,0.283064281999,114
A,DP-Diffusion+DP-CR,knn_mia_auc,0.535866028130,0.533030616482,0.538652520725,0.015332727230,114
A,DP-Diffusion+DP-CR,mia_adv_fix,0.470529121906,0.449306526210,0.488041352472,0.106296206430,114
A,DP-Diffusion+DP-CR,knn_mia_adv_fix,0.035866028130,0.033030616482,0.038652520725,0.015332727230,114
A,DP-Diffusion+DP-CR,privacy_adv_primary,0.035866028130,0.033030616482,0.038652520725,0.015332727230,114
A,SDV-CTGAN,utility_main,0.391468868249,0.225232198142,0.570175438596,0.172809385141,3
A,SDV-CTGAN,tstr_f1macro,0.314464863768,0.225232198142,0.413675213675,0.094616902103,3
A,SDV-CTGAN,privacy_main,0.035432516202,0.031880207704,0.038280400918,0.003257725885,3
A,SDV-CTGAN,pearson_mad,0.384197210999,0.376027256118,0.388617056150,0.007083308440,3
A,SDV-CTGAN,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-CTGAN,knn_mia_auc,0.535432516202,0.531880207704,0.538280400918,0.003257725885,3
A,SDV-CTGAN,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-CTGAN,knn_mia_adv_fix,0.035432516202,0.031880207704,0.038280400918,0.003257725885,3
A,SDV-CTGAN,privacy_adv_primary,0.035432516202,0.031880207704,0.038280400918,0.003257725885,3
A,SDV-GaussianCopula,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-GaussianCopula,tstr_f1macro,0.272000000000,0.272000000000,0.272000000000,0.000000000000,3
A,SDV-GaussianCopula,privacy_main,0.035774664896,0.035774664896,0.035774664896,0.000000000000,3
A,SDV-GaussianCopula,pearson_mad,0.383441646708,0.383441646708,0.383441646708,0.000000000000,3
A,SDV-GaussianCopula,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-GaussianCopula,knn_mia_auc,0.535774664896,0.535774664896,0.535774664896,0.000000000000,3
A,SDV-GaussianCopula,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-GaussianCopula,knn_mia_adv_fix,0.035774664896,0.035774664896,0.035774664896,0.000000000000,3
