dataset,method,utility_main_mean,utility_main_std,utility_main_n,tstr_f1macro_mean,tstr_f1macro_std,tstr_f1macro_n,privacy_main_mean,privacy_main_std,privacy_main_n,pearson_mad_mean,pearson_mad_std,pearson_mad_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,privacy_adv_primary_mean,privacy_adv_primary_std,privacy_adv_primary_n
A,DP-Diffusion,0.500000000000,0.000000000000,4,0.385135135135,0.000000000000,4,0.034072726724,0.019774408612,8,0.386383818188,0.002774068044,4,0.551211361738,0.197698233115,8,0.534072726724,0.019774408612,8,0.129741019215,0.151143787581,8,0.034072726724,0.019774408612,8,0.034072726724,0.019774408612,8
A,DP-Diffusion+DP-CR,0.541680999885,0.192758276396,18,0.470228539043,0.218460715478,18,0.035866028130,0.015332727230,114,0.388456145387,0.005198983969,18,0.108624360001,0.283064281999,114,0.535866028130,0.015332727230,114,0.470529121906,0.106296206430,114,0.035866028130,0.015332727230,114,0.035866028130,0.015332727230,114
A,SDV-CTGAN,0.391468868249,0.172809385141,3,0.314464863768,0.094616902103,3,0.035432516202,0.003257725885,3,0.384197210999,0.007083308440,3,0.000000000000,0.000000000000,3,0.535432516202,0.003257725885,3,0.500000000000,0.000000000000,3,0.035432516202,0.003257725885,3,0.035432516202,0.003257725885,3
A,SDV-GaussianCopula,0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.383441646708,0.000000000000,3,0.000000000000,0.000000000000,3,0.535774664896,0.000000000000,3,0.500000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.035774664896,0.000000000000,3
A,SDV-TVAE,0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,0.035362073824,0.001782038456,3,0.385853563300,0.010097705720,3,0.000000000000,0.000000000000,3,0.535362073824,0.001782038456,3,0.500000000000,0.000000000000,3,0.035362073824,0.001782038456,3,0.035362073824,0.001782038456,3
B,DP-Diffusion,0.500000000000,0.000000000000,4,0.331941544885,0.000000000000,4,0.087625427246,0.077038601800,8,0.028260979846,0.000326397898,4,0.490359897172,0.198815512019,8,0.587625427246,0.077038601800,8,0.115359897172,0.156284292416,8,0.087625427246,0.077038601800,8,0.087625427246,0.077038601800,8
B,DP-Diffusion+DP-CR,0.494690954725,0.017682552189,16,0.405536231983,0.077787846515,16,0.069854431152,0.101275365956,16,0.054226192985,0.047451014003,16,0.886078911491,0.203407408016,16,0.569854431152,0.101275365956,16,0.386078911491,0.203407408016,16,0.069854431152,0.101275365956,16,0.069854431152,0.101275365956,16
B,SDV-CTGAN,0.514453689597,0.027157316733,3,0.475611853853,0.014981232530,3,0.016079101562,0.000023289531,3,0.032588564049,0.001985641046,3,0.000000000000,0.000000000000,3,0.516079101563,0.000023289531,3,0.500000000000,0.000000000000,3,0.016079101562,0.000023289531,3,0.016079101562,0.000023289531,3
B,SDV-GaussianCopula,0.577385835384,0.000000000000,3,0.571764192746,0.000000000000,3,0.016040852865,0.000031863236,3,0.029732939870,0.000000000000,3,0.000000000000,0.000000000000,3,0.516040852865,0.000031863236,3,0.500000000000,0.000000000000,3,0.016040852865,0.000031863236,3,0.016040852865,0.000031863236,3
B,SDV-TVAE,0.521810747816,0.013651889718,3,0.521140066424,0.013142073951,3,0.016026204427,0.000095068664,3,0.044875641856,0.000721426955,3,0.000000000000,0.000000000000,3,0.516026204427,0.000095068664,3,0.500000000000,0.000000000000,3,0.016026204427,0.000095068664,3,0.016026204427,0.000095068664,3
C,DP-Diffusion,0.333333333333,0.000000000000,6,0.170542635659,0.000000000000,6,0.499999999999,0.000000000000,7,0.100677298448,0.028180068968,6,0.142857142857,0.377964473009,7,0.999999999999,0.000000000000,7,0.500000000000,0.000000000000,7,0.499999999999,0.000000000000,7,0.499999999999,0.000000000000,7
C,DP-Diffusion+DP-CR,0.332481060606,0.002487726222,16,0.172214464579,0.004965899136,16,0.499999999999,0.000000000000,108,0.042739297754,0.000728500251,16,0.851851851852,0.356902950625,108,0.999999999999,0.000000000000,108,0.500000000000,0.000000000000,108,0.499999999999,0.000000000000,108,0.499999999999,0.000000000000,108
C,SDV-CTGAN,0.333333333333,0.032328164081,3,0.237900096653,0.059823829302,3,0.499999999999,0.000000000000,3,0.064352204195,0.001879735327,3,1.000000000000,0.000000000000,3,0.999999999999,0.000000000000,3,0.500000000000,0.000000000000,3,0.499999999999,0.000000000000,3,0.499999999999,0.000000000000,3
C,SDV-GaussianCopula,0.333333333333,0.000000000000,3,0.158730158730,0.000000000000,3,0.499999999999,0.000000000000,3,0.077127272560,0.000000000000,3,1.000000000000,0.000000000000,3,0.999999999999,0.000000000000,3,0.500000000000,0.000000000000,3,0.499999999999,0.000000000000,3,0.499999999999,0.000000000000,3
C,SDV-TVAE,0.324242424242,0.009090909091,3,0.167730407088,0.008702356509,3,0.499999999999,0.000000000000,3,0.162524645112,0.021266549313,3,1.000000000000,0.000000000000,3,0.999999999999,0.000000000000,3,0.500000000000,0.000000000000,3,0.499999999999,0.000000000000,3,0.499999999999,0.000000000000,3
