dataset,method,epsilon,seed,syn_path,run_dir,privacy_adv_primary
A,DP-Diffusion+DP-CR,1.500000000000,12.000000000000,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5,0.393926758894
A,DP-Diffusion+DP-CR,5.000000000000,12.000000000000,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0,0.394643212860
A,DP-Diffusion+DP-CR,5.000000000000,11.000000000000,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0,0.397296513122
A,DP-Diffusion+DP-CR,5.000000000000,4.000000000000,outputs\A\dp_diffusion_dpcr\seed4\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train4.0_repair1.0,0.397442646925
A,DP-Diffusion+DP-CR,5.000000000000,4.000000000000,outputs\A\dp_diffusion_dpcr\seed4\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train3.0_repair2.0,0.397466069101
A,DP-Diffusion+DP-CR,1.500000000000,11.000000000000,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5,0.397766450091
A,DP-Diffusion+DP-CR,1.000000000000,4.000000000000,outputs\A\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train0.5_repair0.5,0.398428027321
A,DP-Diffusion+DP-CR,1.500000000000,4.000000000000,outputs\A\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train1.0_repair0.5,0.398428922007
A,DP-Diffusion+DP-CR,5.000000000000,6.000000000000,outputs\A\dp_diffusion_dpcr\seed6\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed6\train4.0_repair1.0,0.399410784885
A,DP-Diffusion+DP-CR,1.000000000000,10.000000000000,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5,0.399730164309
B,DP-Diffusion,1.000000000000,11.000000000000,outputs\B\dp_diffusion\seed11\train1.0\synth.csv,outputs\B\dp_diffusion\seed11\train1.0,5.144942331677
B,DP-Diffusion,1.000000000000,33.000000000000,outputs\B\dp_diffusion\seed33\train1.0\synth.csv,outputs\B\dp_diffusion\seed33\train1.0,5.143275692714
B,DP-Diffusion,1.000000000000,22.000000000000,outputs\B\dp_diffusion\seed22\train1.0\synth.csv,outputs\B\dp_diffusion\seed22\train1.0,5.141693179898
B,DP-Diffusion,3.000000000000,11.000000000000,outputs\B\dp_diffusion\seed11\train3.0\synth.csv,outputs\B\dp_diffusion\seed11\train3.0,5.139513901885
B,DP-Diffusion,3.000000000000,33.000000000000,outputs\B\dp_diffusion\seed33\train3.0\synth.csv,outputs\B\dp_diffusion\seed33\train3.0,5.138015083800
B,DP-Diffusion,3.000000000000,22.000000000000,outputs\B\dp_diffusion\seed22\train3.0\synth.csv,outputs\B\dp_diffusion\seed22\train3.0,5.137861986042
C,DP-Diffusion,1.000000000000,42.000000000000,outputs\C\dp_diffusion\seed42\train1.0\synth.csv,outputs\C\dp_diffusion\seed42\train1.0,5.124052239362
C,DP-Diffusion,0.500000000000,42.000000000000,outputs\C\dp_diffusion\seed42\train0.5\synth.csv,outputs\C\dp_diffusion\seed42\train0.5,5.110691150267
C,DP-Diffusion,0.700000000000,42.000000000000,outputs\C\dp_diffusion\seed42\train0.7\synth.csv,outputs\C\dp_diffusion\seed42\train0.7,5.110689267389
C,DP-Diffusion,3.000000000000,42.000000000000,outputs\C\dp_diffusion\seed42\train3.0\synth.csv,outputs\C\dp_diffusion\seed42\train3.0,5.110676776448
