dataset,method,epsilon,seed,syn_path,run_dir,utility_main,privacy_main
A,SDV-TVAE,,44.000000000000,outputs\A\baselines_sdv\tvae\seed44\synth.csv,outputs\A\baselines_sdv\tvae\seed44,0.500000000000,
A,SDV-TVAE,,42.000000000000,outputs\A\baselines_sdv\tvae\seed42\synth.csv,outputs\A\baselines_sdv\tvae\seed42,0.500000000000,
A,SDV-CTGAN,,43.000000000000,outputs\A\baselines_sdv\ctgan\seed43\synth.csv,outputs\A\baselines_sdv\ctgan\seed43,0.614035087719,
A,SDV-TVAE,,43.000000000000,outputs\A\baselines_sdv\tvae\seed43\synth.csv,outputs\A\baselines_sdv\tvae\seed43,0.500000000000,
A,SDV-CTGAN,,42.000000000000,outputs\A\baselines_sdv\ctgan\seed42\synth.csv,outputs\A\baselines_sdv\ctgan\seed42,0.176212590299,
A,SDV-GaussianCopula,,44.000000000000,outputs\A\baselines_sdv\gaussiancopula\seed44\synth.csv,outputs\A\baselines_sdv\gaussiancopula\seed44,0.500000000000,
A,SDV-GaussianCopula,,43.000000000000,outputs\A\baselines_sdv\gaussiancopula\seed43\synth.csv,outputs\A\baselines_sdv\gaussiancopula\seed43,0.500000000000,
A,SDV-CTGAN,,44.000000000000,outputs\A\baselines_sdv\ctgan\seed44\synth.csv,outputs\A\baselines_sdv\ctgan\seed44,0.470330237358,
A,SDV-GaussianCopula,,42.000000000000,outputs\A\baselines_sdv\gaussiancopula\seed42\synth.csv,outputs\A\baselines_sdv\gaussiancopula\seed42,0.500000000000,
B,SDV-CTGAN,,44.000000000000,outputs\B\baselines_sdv\ctgan\seed44\synth.csv,outputs\B\baselines_sdv\ctgan\seed44,0.515547482324,
B,SDV-GaussianCopula,,44.000000000000,outputs\B\baselines_sdv\gaussiancopula\seed44\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed44,0.454509941795,
B,SDV-TVAE,,44.000000000000,outputs\B\baselines_sdv\tvae\seed44\synth.csv,outputs\B\baselines_sdv\tvae\seed44,0.452420016407,
B,SDV-CTGAN,,22.000000000000,outputs\B\baselines_sdv\ctgan\seed22\synth.csv,outputs\B\baselines_sdv\ctgan\seed22,0.524590804328,
B,SDV-GaussianCopula,,33.000000000000,outputs\B\baselines_sdv\gaussiancopula\seed33\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed33,0.454509941795,
B,SDV-GaussianCopula,,22.000000000000,outputs\B\baselines_sdv\gaussiancopula\seed22\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed22,0.454509941795,
B,SDV-CTGAN,,11.000000000000,outputs\B\baselines_sdv\ctgan\seed11\synth.csv,outputs\B\baselines_sdv\ctgan\seed11,0.480292198914,
B,SDV-TVAE,,11.000000000000,outputs\B\baselines_sdv\tvae\seed11\synth.csv,outputs\B\baselines_sdv\tvae\seed11,0.495468572991,
B,SDV-GaussianCopula,,55.000000000000,outputs\B\baselines_sdv\gaussiancopula\seed55\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed55,0.454509941795,
B,SDV-CTGAN,,55.000000000000,outputs\B\baselines_sdv\ctgan\seed55\synth.csv,outputs\B\baselines_sdv\ctgan\seed55,0.531427008868,
B,SDV-CTGAN,,33.000000000000,outputs\B\baselines_sdv\ctgan\seed33\synth.csv,outputs\B\baselines_sdv\ctgan\seed33,0.507812805188,
B,SDV-TVAE,,55.000000000000,outputs\B\baselines_sdv\tvae\seed55\synth.csv,outputs\B\baselines_sdv\tvae\seed55,0.530645728349,
B,SDV-TVAE,,22.000000000000,outputs\B\baselines_sdv\tvae\seed22\synth.csv,outputs\B\baselines_sdv\tvae\seed22,0.455369350365,
B,SDV-TVAE,,33.000000000000,outputs\B\baselines_sdv\tvae\seed33\synth.csv,outputs\B\baselines_sdv\tvae\seed33,0.474276338919,
B,SDV-GaussianCopula,,11.000000000000,outputs\B\baselines_sdv\gaussiancopula\seed11\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed11,0.454509941795,
C,SDV-CTGAN,,44.000000000000,outputs\C\baselines_sdv\ctgan\seed44\synth.csv,outputs\C\baselines_sdv\ctgan\seed44,0.355303030303,
C,SDV-GaussianCopula,,42.000000000000,outputs\C\baselines_sdv\gaussiancopula\seed42\synth.csv,outputs\C\baselines_sdv\gaussiancopula\seed42,0.333333333333,
C,SDV-TVAE,,43.000000000000,outputs\C\baselines_sdv\tvae\seed43\synth.csv,outputs\C\baselines_sdv\tvae\seed43,0.324242424242,
C,SDV-TVAE,,44.000000000000,outputs\C\baselines_sdv\tvae\seed44\synth.csv,outputs\C\baselines_sdv\tvae\seed44,0.333333333333,
C,SDV-TVAE,,42.000000000000,outputs\C\baselines_sdv\tvae\seed42\synth.csv,outputs\C\baselines_sdv\tvae\seed42,0.315151515152,
C,SDV-GaussianCopula,,44.000000000000,outputs\C\baselines_sdv\gaussiancopula\seed44\synth.csv,outputs\C\baselines_sdv\gaussiancopula\seed44,0.333333333333,
C,SDV-GaussianCopula,,43.000000000000,outputs\C\baselines_sdv\gaussiancopula\seed43\synth.csv,outputs\C\baselines_sdv\gaussiancopula\seed43,0.333333333333,
C,SDV-CTGAN,,43.000000000000,outputs\C\baselines_sdv\ctgan\seed43\synth.csv,outputs\C\baselines_sdv\ctgan\seed43,0.348484848485,
C,SDV-CTGAN,,42.000000000000,outputs\C\baselines_sdv\ctgan\seed42\synth.csv,outputs\C\baselines_sdv\ctgan\seed42,0.296212121212,
A,DP-Diffusion+DP-CR (ClassCond),5.000000000000,789.000000000000,outputs\A\dp_diffusion_classcond_dpcr\seed789\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_classcond_dpcr\seed789\train4.0_repair1.0,0.500000000000,
A,DP-Diffusion+DP-CR (ClassCond),5.000000000000,456.000000000000,outputs\A\dp_diffusion_classcond_dpcr\seed456\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_classcond_dpcr\seed456\train4.0_repair1.0,0.500000000000,
A,DP-Diffusion+DP-CR (ClassCond),5.000000000000,123.000000000000,outputs\A\dp_diffusion_classcond_dpcr\seed123\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_classcond_dpcr\seed123\train4.0_repair1.0,0.500000000000,
B,UNKNOWN,,,outputs\B\best_selection\frozen\best_baseline_overall__SDV-CTGAN__seed22__epsnan_repairnan\synth.csv,outputs\B\best_selection\frozen\best_baseline_overall__SDV-CTGAN__seed22__epsnan_repairnan,0.452537208485,
B,UNKNOWN,,,outputs\B\best_selection\frozen\best_overall__DP-Diffusion__seed22__eps3.0_repairnan\synth.csv,outputs\B\best_selection\frozen\best_overall__DP-Diffusion__seed22__eps3.0_repairnan,0.500000000000,
B,UNKNOWN,,,outputs\B\best_selection\frozen\best_under_thresh__DP-Diffusion__seed22__eps3.0_repairnan\synth.csv,outputs\B\best_selection\frozen\best_under_thresh__DP-Diffusion__seed22__eps3.0_repairnan,0.500000000000,
B,UNKNOWN,,,outputs\B\best_selection\frozen\best_utility__SDV-TVAE__seed55__epsnan_repairnan\synth.csv,outputs\B\best_selection\frozen\best_utility__SDV-TVAE__seed55__epsnan_repairnan,0.512012187976,
