dataset,method,epsilon,repaired_flag,n_rows,n_both,n_exact_equal,frac_exact_equal,n_near_equal,frac_near_equal,mia_mean,knn_mean,delta_abs_mean,delta_abs_median
A,DP-Diffusion+DP-CR,5.000000000000,True,28.000000000000,28.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.562052915452,0.536832917867,0.074179117429,0.036839789880
A,DP-Diffusion+DP-CR,1.000000000000,True,14.000000000000,14.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.581378717201,0.536566063450,0.087981929374,0.031692440527
A,DP-Diffusion+DP-CR,1.500000000000,True,14.000000000000,14.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.514497084548,0.537238860041,0.023183989166,0.028880086946
D,DP-Diffusion,0.700000000000,,5.000000000000,5.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.505866061135,0.494311489568,0.013982382731,0.015776416147
D,DP-Diffusion,3.000000000000,,5.000000000000,5.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.494321794368,0.499486688282,0.008289987511,0.007812733993
D,DP-Diffusion,5.000000000000,,5.000000000000,5.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.503745676481,0.500065548856,0.012131698517,0.016708315582
D,DP-Diffusion+DP-CR,1.000000000000,True,5.000000000000,5.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.502923161926,0.507994821225,0.007567266811,0.007278818902
D,DP-Diffusion+DP-CR,5.000000000000,True,5.000000000000,5.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.497679432026,0.507742491655,0.012631411240,0.012391684424
D,DP-Diffusion+DP-CR,7.000000000000,True,5.000000000000,5.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.499009558849,0.507898557319,0.012032027448,0.014284518849
A,DP-Diffusion,0.700000000000,,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.488108843537,0.516282252546,0.033660250372,0.037088612486
A,DP-Diffusion,3.000000000000,,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.489194557823,0.502108239746,0.023545393068,0.015947566719
A,SDV-CTGAN,,,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.535372137020,0.535372137020,0.536227508755
A,SDV-GaussianCopula,,,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.535774664896,0.535774664896,0.535774664896
A,SDV-TVAE,,,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.535326852635,0.535326852635,0.535653906533
B,DP-Diffusion,3.000000000000,,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.500371330781,0.499879612443,0.006033241838,0.008312285249
B,DP-Diffusion+DP-CR,5.000000000000,True,3.000000000000,3.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.500371330781,0.501439347779,0.001932882447,0.001862012714
B,SDV-CTGAN,,,2.000000000000,2.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.501086814102,0.501086814102,0.501086814102
A,DP-Diffusion,1.000000000000,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.490604081633,0.548710904480,0.058106822847,0.058106822847
A,DP-Diffusion,5.000000000000,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.600000000000,0.538084168579,0.061915831421,0.061915831421
B,SDV-GaussianCopula,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.503879793480,0.503879793480,0.503879793480
B,SDV-TVAE,,,1.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.501604851907,0.501604851907,0.501604851907
