dataset,epsilon_train,epsilon_repair_dpcr,n_pairs,delta_tstr_balacc_mean,delta_tstr_balacc_ci95_low,delta_tstr_balacc_ci95_high,delta_privacy_mean,delta_privacy_ci95_low,delta_privacy_ci95_high,delta_pearson_mad_mean,delta_pearson_mad_ci95_low,delta_pearson_mad_ci95_high
A,0.500000000000,0.500000000000,14,-0.038128409258,-0.145557669633,0.069300851116,-4.480989771289,-4.482268175682,-4.479711366896,-0.001076770869,-0.004293861231,0.002140319492
A,0.700000000000,0.300000000000,3,-0.210182318542,-0.425512878669,0.005148241586,-4.479222230036,-4.479859559991,-4.478584900081,-0.003731957125,-0.007472074088,0.000008159838
A,1.000000000000,0.500000000000,14,-0.059505381100,-0.134183263824,0.015172501625,-4.481834907072,-4.482916886684,-4.480752927459,-0.001063031601,-0.004236162554,0.002110099352
A,3.000000000000,2.000000000000,16,-0.046117131063,-0.121460804920,0.029226542794,-4.481847678252,-4.482862531953,-4.480832824552,-0.001245956673,-0.004183152955,0.001691239608
A,4.000000000000,1.000000000000,14,-0.016106442577,-0.113488978063,0.081276092909,-4.480874386318,-4.482282027283,-4.479466745353,-0.001186327043,-0.004461512195,0.002088858109
B,1.000000000000,0.500000000000,3,-0.008515957654,-0.020053638711,0.003021723403,-4.400592550376,-4.401758559258,-4.399426541494,-0.001157113658,-0.001432634346,-0.000881592971
B,3.000000000000,2.000000000000,3,-0.009564175684,-0.017493552062,-0.001634799306,-4.395472472136,-4.396163707214,-4.394781237058,-0.001481216099,-0.001982713491,-0.000979718708
C,0.500000000000,0.500000000000,1,0.000000000000,,,-4.295100916344,,,-0.070820974270,,
C,0.700000000000,0.300000000000,1,-0.006818181818,,,-4.281505161276,,,-0.068820273387,,
C,3.000000000000,2.000000000000,1,0.000000000000,,,-4.290286506309,,,-0.069853341778,,
C,4.000000000000,1.000000000000,1,0.000000000000,,,-4.296786314410,,,-0.070130850825,,
