dataset,epsilon_train,epsilon_repair_dpcr,n_pairs,delta_tstr_balacc_mean,delta_tstr_balacc_ci95_low,delta_tstr_balacc_ci95_high,delta_privacy_mean,delta_privacy_ci95_low,delta_privacy_ci95_high,delta_pearson_mad_mean,delta_pearson_mad_ci95_low,delta_pearson_mad_ci95_high,delta_tstr_balacc_mean_ci95_str,delta_privacy_mean_ci95_str,delta_pearson_mad_mean_ci95_str
A,0.5,0.5,14,-0.03812840925842858,-0.14555766963335653,0.06930085111649939,-4.480989771289071,-4.482268175681824,-4.479711366896318,-0.0010767708692857143,-0.0042938612310383095,0.0021403194924668814,"-0.0381 [-0.1456, 0.0693]","-4.4810 [-4.4823, -4.4797]","-0.0011 [-0.0043, 0.0021]"
A,0.7,0.3,3,-0.2101823185416667,-0.4255128786693286,0.005148241585995195,-4.479222230036,-4.479859559990925,-4.478584900081075,-0.0037319571249999997,-0.007472074087558006,8.159837558006661e-06,"-0.2102 [-0.4255, 0.0051]","-4.4792 [-4.4799, -4.4786]","-0.0037 [-0.0075, 0.0000]"
A,1.0,0.5,14,-0.059505381099714295,-0.13418326382434617,0.015172501624917574,-4.481834907071572,-4.482916886684482,-4.480752927458662,-0.0010630316010714284,-0.0042361625540570155,0.002110099351914159,"-0.0595 [-0.1342, 0.0152]","-4.4818 [-4.4829, -4.4808]","-0.0011 [-0.0042, 0.0021]"
A,3.0,2.0,16,-0.04611713106293751,-0.12146080492008796,0.02922654279421294,-4.481847678252313,-4.482862531952658,-4.480832824551968,-0.0012459566733749997,-0.004183152954574956,0.0016912396078249564,"-0.0461 [-0.1215, 0.0292]","-4.4818 [-4.4829, -4.4808]","-0.0012 [-0.0042, 0.0017]"
A,4.0,1.0,14,-0.016106442576928566,-0.1134889780626728,0.08127609290881568,-4.480874386318143,-4.48228202728345,-4.479466745352836,-0.0011863270432857142,-0.004461512195328786,0.002088858108757358,"-0.0161 [-0.1135, 0.0813]","-4.4809 [-4.4823, -4.4795]","-0.0012 [-0.0045, 0.0021]"
B,1.0,0.5,3,-0.008515957654333333,-0.020053638711469174,0.003021723402802507,-4.4005925503763335,-4.401758559258491,-4.399426541494176,-0.0011571136583333334,-0.0014326343459986465,-0.0008815929706680202,"-0.0085 [-0.0201, 0.0030]","-4.4006 [-4.4018, -4.3994]","-0.0012 [-0.0014, -0.0009]"
B,3.0,2.0,3,-0.009564175684000002,-0.017493552061879924,-0.00163479930612008,-4.395472472136,-4.396163707213661,-4.39478123705834,-0.001481216099333333,-0.001982713490670339,-0.000979718707996327,"-0.0096 [-0.0175, -0.0016]","-4.3955 [-4.3962, -4.3948]","-0.0015 [-0.0020, -0.0010]"
C,0.5,0.5,1,0.0,,,-4.295100916344,,,-0.07082097427,,,0.0000,-4.2951,-0.0708
C,0.7,0.3,1,-0.006818181818,,,-4.281505161276,,,-0.068820273387,,,-0.0068,-4.2815,-0.0688
C,3.0,2.0,1,0.0,,,-4.290286506309,,,-0.069853341778,,,0.0000,-4.2903,-0.0699
C,4.0,1.0,1,0.0,,,-4.29678631441,,,-0.070130850825,,,0.0000,-4.2968,-0.0701
