dataset,epsilon_train,epsilon_repair_dpcr,n_pairs,delta_tstr_balacc_mean,delta_tstr_balacc_ci95_low,delta_tstr_balacc_ci95_high,delta_tstr_balacc_std,delta_privacy_mean,delta_privacy_ci95_low,delta_privacy_ci95_high,delta_privacy_std,delta_pearson_mad_mean,delta_pearson_mad_ci95_low,delta_pearson_mad_ci95_high,delta_pearson_mad_std
A,0.500000000000,0.500000000000,14,-0.038128409258,-0.145557669633,0.069300851116,0.205083411040,-4.480989771289,-4.482268175682,-4.479711366896,0.002440485326,-0.001076770869,-0.004293861231,0.002140319492,0.006141454039
A,0.700000000000,0.300000000000,3,-0.210182318541,-0.425512878669,0.005148241586,0.190287484981,-4.479222230036,-4.479859559991,-4.478584900081,0.000563208094,-0.003731957125,-0.007472074088,0.000008159837,0.003305139084
A,1.000000000000,0.500000000000,14,-0.059505381100,-0.134183263824,0.015172501625,0.142560740574,-4.481834907072,-4.482916886685,-4.480752927459,0.002065508679,-0.001063031601,-0.004236162554,0.002110099352,0.006057535138
A,3.000000000000,2.000000000000,16,-0.046117131063,-0.121460804920,0.029226542794,0.153762599708,-4.481847678252,-4.482862531953,-4.480832824552,0.002071130001,-0.001245956673,-0.004183152954,0.001691239608,0.005994278125
A,4.000000000000,1.000000000000,14,-0.016106442577,-0.113488978063,0.081276092909,0.185904124104,-4.480874386318,-4.482282027284,-4.479466745353,0.002687199090,-0.001186327043,-0.004461512195,0.002088858109,0.006252357509
B,1.000000000000,0.500000000000,3,-0.008515957655,-0.020053638712,0.003021723403,0.010195841731,-4.400592550376,-4.401758559258,-4.399426541495,0.001030401339,-0.001157113659,-0.001432634346,-0.000881592971,0.000243477464
B,3.000000000000,2.000000000000,3,-0.009564175684,-0.017493552062,-0.001634799306,0.007007185081,-4.395472472136,-4.396163707214,-4.394781237058,0.000610844018,-0.001481216100,-0.001982713491,-0.000979718708,0.000443172940
C,0.500000000000,0.500000000000,1,0.000000000000,,,,-4.295100916344,,,,-0.070820974270,,,
C,0.700000000000,0.300000000000,1,-0.006818181818,,,,-4.281505161276,,,,-0.068820273387,,,
C,3.000000000000,2.000000000000,1,0.000000000000,,,,-4.290286506309,,,,-0.069853341778,,,
C,4.000000000000,1.000000000000,1,0.000000000000,,,,-4.296786314410,,,,-0.070130850825,,,
D,0.700000000000,0.300000000000,5,,,,,-4.419084270614,-4.421395710358,-4.416772830869,0.002637008365,,,,
D,3.000000000000,2.000000000000,5,,,,,-4.426685146315,-4.427293426405,-4.426076866225,0.000438896915,,,,
D,5.000000000000,2.000000000000,5,,,,,-4.427036790310,-4.429193602203,-4.424879978418,0.002460601024,,,,
NAN,0.700000000000,0.300000000000,6,,,,,-4.492022276185,-4.493530450774,-4.490514101596,0.001884825605,,,,
NAN,3.000000000000,2.000000000000,20,,,,,-4.421301613943,-4.450685683743,-4.391917544144,0.067045691354,,,,
NAN,5.000000000000,2.000000000000,5,,,,,-4.377203044031,-4.381043002126,-4.373363085937,0.004380820067,,,,
