dataset,epsilon_train,epsilon_repair_dpcr,n_pairs,delta_utility_mean,delta_utility_ci95_low,delta_utility_ci95_high,delta_tstr_balacc_mean,delta_tstr_balacc_ci95_low,delta_tstr_balacc_ci95_high,delta_tstr_f1macro_mean,delta_tstr_f1macro_ci95_low,delta_tstr_f1macro_ci95_high,delta_privacy_mean,delta_privacy_ci95_low,delta_privacy_ci95_high,delta_mia_auc_mean,delta_mia_auc_ci95_low,delta_mia_auc_ci95_high,delta_knn_mia_auc_mean,delta_knn_mia_auc_ci95_low,delta_knn_mia_auc_ci95_high,delta_mia_adv_fix_mean,delta_mia_adv_fix_ci95_low,delta_mia_adv_fix_ci95_high,delta_knn_mia_adv_fix_mean,delta_knn_mia_adv_fix_ci95_low,delta_knn_mia_adv_fix_ci95_high,delta_pearson_mad_mean,delta_pearson_mad_ci95_low,delta_pearson_mad_ci95_high,delta_spearman_mad_mean,delta_spearman_mad_ci95_low,delta_spearman_mad_ci95_high,delta_utility_mean_ci95_str,delta_tstr_balacc_mean_ci95_str,delta_tstr_f1macro_mean_ci95_str,delta_privacy_mean_ci95_str,delta_mia_auc_mean_ci95_str,delta_knn_mia_auc_mean_ci95_str,delta_mia_adv_fix_mean_ci95_str,delta_knn_mia_adv_fix_mean_ci95_str,delta_pearson_mad_mean_ci95_str,delta_spearman_mad_mean_ci95_str
A,0.5,0.5,14,-0.038128409258440236,-0.13175954592363262,0.06545914418398933,-0.038128409258440236,-0.13175954592363262,0.06545914418398933,0.04965393805529534,-0.054975523843239595,0.1635829801157007,-4.480989771289041,-4.482082763187155,-4.479696911132204,0.09244427001569859,0.013021703296703258,0.20143097331240187,,,,0.07605054945054943,-0.002040941915227654,0.1864649921507064,,,,-0.0010767708692900454,-0.004097227167006841,0.002063899134135283,-0.0006531348261266298,-0.007382700328462222,0.0046249361085066165,"-0.0381 [-0.1318, 0.0655]","-0.0381 [-0.1318, 0.0655]","0.0497 [-0.0550, 0.1636]","-4.4810 [-4.4821, -4.4797]","0.0924 [0.0130, 0.2014]",,"0.0761 [-0.0020, 0.1865]",,"-0.0011 [-0.0041, 0.0021]","-0.0007 [-0.0074, 0.0046]"
A,0.7,0.3,3,-0.21018231854145172,-0.3707430340557276,0.0,-0.21018231854145172,-0.3707430340557276,0.0,-0.10102690670022796,-0.1638330308529946,0.0,-4.47922223003609,-4.479570074185059,-4.4785724333009584,0.014224489795918357,-0.019053061224489853,0.05577142857142864,-0.03215191402004591,,,-0.004891156462585,-0.0097632653061224,0.0010448979591837007,-0.0321519140200459,,,-0.003731957125200284,-0.007543464664106159,-0.00165811981348446,-0.00165811981348446,,,"-0.2102 [-0.3707, 0.0000]","-0.2102 [-0.3707, 0.0000]","-0.1010 [-0.1638, 0.0000]","-4.4792 [-4.4796, -4.4786]","0.0142 [-0.0191, 0.0558]",-0.0322,"-0.0049 [-0.0098, 0.0010]",-0.0322,"-0.0037 [-0.0075, -0.0017]",-0.0017
A,1.0,0.5,14,-0.05950538109980836,-0.13134767064720626,0.009480963438006704,-0.05950538109980836,-0.13134767064720626,0.009480963438006704,0.021523578731815544,-0.06556375586344004,0.1167935438440391,-4.4818349070716526,-4.482882239737334,-4.480835120258128,0.017364139941691,0.004446399416909684,0.031015553935860123,-0.012181499818862518,,,0.002696501457725964,-0.006659701166180759,0.011209774052478125,-0.012181499818862504,,,-0.0010630316010711294,-0.00405824193864751,0.0020866562465483903,-0.003950925128583693,,,"-0.0595 [-0.1313, 0.0095]","-0.0595 [-0.1313, 0.0095]","0.0215 [-0.0656, 0.1168]","-4.4818 [-4.4829, -4.4808]","0.0174 [0.0044, 0.0310]",-0.0122,"0.0027 [-0.0067, 0.0112]",-0.0122,"-0.0011 [-0.0041, 0.0021]",-0.0040
A,3.0,2.0,16,-0.04611713106295153,-0.12145655959752323,0.0233697755417956,-0.04611713106295153,-0.12145655959752323,0.0233697755417956,0.04339693326721591,-0.03366662099392362,0.12135990212729966,-4.48184767825235,-4.482793570777386,-4.4808617968699815,0.013863520408163282,0.0014784247448979384,0.027078431122449023,-0.037495471561405536,,,0.0001385204081632874,-0.0064114923469387845,0.006351218112244915,-0.037495471561405494,,,-0.0012459566733276223,-0.003878543371931672,0.0017938222721629931,-0.002141841440878034,,,"-0.0461 [-0.1215, 0.0234]","-0.0461 [-0.1215, 0.0234]","0.0434 [-0.0337, 0.1214]","-4.4818 [-4.4828, -4.4809]","0.0139 [0.0015, 0.0271]",-0.0375,"0.0001 [-0.0064, 0.0064]",-0.0375,"-0.0012 [-0.0039, 0.0018]",-0.0021
A,4.0,1.0,14,-0.016106442577030835,-0.09944438301636446,0.0783802336724163,-0.016106442577030835,-0.09944438301636446,0.0783802336724163,0.06943951777111039,-0.026857879980720457,0.17381814147296676,-4.480874386318218,-4.482069180614956,-4.479485163530703,0.11775335276967931,0.01855008017492711,0.22532445335276965,,,,0.10308629737609329,0.0003711661807580233,0.21023301020408164,,,,-0.001186327043284387,-0.004236913086225331,0.0020323636735044342,-0.0010199433182528546,-0.008031103292066799,0.003606404527747409,"-0.0161 [-0.0994, 0.0784]","-0.0161 [-0.0994, 0.0784]","0.0694 [-0.0269, 0.1738]","-4.4809 [-4.4821, -4.4795]","0.1178 [0.0186, 0.2253]",,"0.1031 [0.0004, 0.2102]",,"-0.0012 [-0.0042, 0.0020]","-0.0010 [-0.0080, 0.0036]"
B,1.0,0.5,3,-0.008515957654595915,-0.0201375053713036,-0.0010742607133091275,-0.008515957654595915,-0.0201375053713036,-0.0010742607133091275,0.13859228739745086,0.1216463418824329,0.1494844048035538,-4.400592550376353,-4.401574193446574,-4.399519483547374,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-0.001157113658666634,-0.001431468877272201,-0.0009667553573447993,-0.001157113658666634,-0.001431468877272201,-0.0009667553573447993,"-0.0085 [-0.0201, -0.0011]","-0.0085 [-0.0201, -0.0011]","0.1386 [0.1216, 0.1495]","-4.4006 [-4.4016, -4.3995]","0.0000 [0.0000, 0.0000]",,"0.0000 [0.0000, 0.0000]",,"-0.0012 [-0.0014, -0.0010]","-0.0012 [-0.0014, -0.0010]"
B,3.0,2.0,3,-0.009564175683946038,-0.0173444275166999,-0.003750146490097306,-0.009564175683946038,-0.0173444275166999,-0.003750146490097306,0.1341059295251724,0.10642631669526531,0.15952532445773698,-4.395472472135968,-4.396167319981021,-4.3950200707492195,0.0,0.0,0.0,0.0015597353362404494,-0.006450272535046819,0.00725300218432362,0.0,0.0,0.0,-0.003297659797075,-0.006450272535046801,0.0008411006617342001,-0.0014812160995218333,-0.0018272587062589003,-0.0009817087471631,-0.0014812160995218333,-0.0018272587062589003,-0.0009817087471631,"-0.0096 [-0.0173, -0.0038]","-0.0096 [-0.0173, -0.0038]","0.1341 [0.1064, 0.1595]","-4.3955 [-4.3962, -4.3950]","0.0000 [0.0000, 0.0000]","0.0016 [-0.0065, 0.0073]","0.0000 [0.0000, 0.0000]","-0.0033 [-0.0065, 0.0008]","-0.0015 [-0.0018, -0.0010]","-0.0015 [-0.0018, -0.0010]"
C,0.5,0.5,1,0.0,,,0.0,,,0.0,,,-4.295100916344214,,,0.0,,,,,,0.0,,,,,,-0.0708209742695923,,,-0.0708209742695923,,,0.0000,0.0000,0.0000,-4.2951,0.0000,,0.0000,,-0.0708,-0.0708
C,0.7,0.3,1,-0.006818181818181834,,,-0.006818181818181834,,,0.014077960547047297,,,-4.281505161276449,,,0.0,,,,,,0.0,,,,,,-0.068820273386685,,,-0.068820273386685,,,-0.0068,-0.0068,0.0141,-4.2815,0.0000,,0.0000,,-0.0688,-0.0688
C,3.0,2.0,1,0.0,,,0.0,,,0.0,,,-4.290286506308829,,,0.0,,,,,,0.0,,,,,,-0.0698533417778182,,,-0.0698533417778182,,,0.0000,0.0000,0.0000,-4.2903,0.0000,,0.0000,,-0.0699,-0.0699
C,4.0,1.0,1,0.0,,,0.0,,,0.0,,,-4.29678631440988,,,0.0,,,,,,0.0,,,,,,-0.0701308508246072,,,-0.0701308508246072,,,0.0000,0.0000,0.0000,-4.2968,0.0000,,0.0000,,-0.0701,-0.0701
