dataset,seed,epsilon_train,epsilon_repair,method,reason,run_dir,syn_path,official_syn_path
A,42,5.0,,DP-Diffusion,no_dpcr_match,outputs\A\dp_diffusion\seed42\train5.0,outputs\A\dp_diffusion\seed42\train5.0\synth.csv,outputs\A\dp_diffusion\seed42\train5.0\synth.csv
C,42,1.0,,DP-Diffusion,no_dpcr_match,outputs\C\dp_diffusion\seed42\train1.0,outputs\C\dp_diffusion\seed42\train1.0\synth.csv,outputs\C\dp_diffusion\seed42\train1.0\synth.csv
C,42,5.0,,DP-Diffusion,no_dpcr_match,outputs\C\dp_diffusion\seed42\train5.0,outputs\C\dp_diffusion\seed42\train5.0\synth.csv,outputs\C\dp_diffusion\seed42\train5.0\synth.csv
C,123,1.0,,DP-Diffusion,no_dpcr_match,outputs\C\dp_diffusion\seed123\train1.0,outputs\C\dp_diffusion\seed123\train1.0\synth.csv,outputs\C\dp_diffusion\seed123\train1.0\synth.csv
A,123,4.0,1.0,DP-Diffusion+DP-CR (ClassCond),no_dp_match,outputs\A\dp_diffusion_classcond_dpcr\seed123\train4.0_repair1.0,outputs\A\dp_diffusion_classcond_dpcr\seed123\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_classcond_dpcr\seed123\train4.0_repair1.0\synth.csv
A,456,4.0,1.0,DP-Diffusion+DP-CR (ClassCond),no_dp_match,outputs\A\dp_diffusion_classcond_dpcr\seed456\train4.0_repair1.0,outputs\A\dp_diffusion_classcond_dpcr\seed456\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_classcond_dpcr\seed456\train4.0_repair1.0\synth.csv
A,789,4.0,1.0,DP-Diffusion+DP-CR (ClassCond),no_dp_match,outputs\A\dp_diffusion_classcond_dpcr\seed789\train4.0_repair1.0,outputs\A\dp_diffusion_classcond_dpcr\seed789\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_classcond_dpcr\seed789\train4.0_repair1.0\synth.csv
C,0,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv
C,0,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv
C,0,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed0\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv
C,0,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed0\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv
C,1,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv
C,1,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv
C,1,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed1\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth.csv
C,1,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv
C,2,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv
C,2,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth.csv
C,2,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed2\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed2\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed2\train3.0_repair2.0\synth.csv
C,2,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed2\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed2\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed2\train4.0_repair1.0\synth.csv
C,3,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth.csv
