dataset,method,epsilon,repaired_flag,synth_kind,utility_mean,utility_std,utility_main_n,utility_acc_mean,utility_acc_std,tstr_acc_n,privacy_mean,privacy_std,privacy_main_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,corr_mean,corr_std,pearson_mad_n,n_seeds,utility_winner,privacy_winner,pareto_winner,delta_vs_baseline_utility,delta_vs_baseline_privacy
A,DP-Diffusion,0.500000000000,,,0.500000000000,0.000000000000,14,0.536106750392,0.125677347651,14,4.884411328767,0.003914051061,14,,,0,,,0,,,0,,,0,0.388641793414,0.004006125115,14,14,1,0,0,0.000000000000,
A,DP-Diffusion,0.700000000000,,,0.500000000000,0.000000000000,3,0.542124542125,0.145923694411,3,4.885602144426,0.001696332859,3,0.469896964634,0.073907661221,3,0.516282252546,0.052857725904,3,0.065023670287,0.021897829759,3,0.040011270781,0.028111458971,3,0.388302288363,0.003459741198,3,3,1,1,0,0.000000000000,
A,DP-Diffusion,1.000000000000,,,0.500000000000,0.000000000000,14,0.536106750392,0.125677347651,14,4.884589037013,0.003518782214,14,1.000000000000,,1,0.548710904480,,1,0.500000000000,,1,0.048710904480,,1,0.389082895097,0.004175430427,14,14,1,0,0,0.000000000000,
A,DP-Diffusion,3.000000000000,,,0.500000000000,0.000000000000,16,0.531593406593,0.126373626374,16,4.884354933628,0.003328338306,16,0.466666666667,0.093798645732,3,0.502108239746,0.058810950431,3,0.080952380953,0.025197631534,3,0.044242845067,0.023005453558,3,0.388866218246,0.004091938857,16,16,1,0,0,0.000000000000,
A,DP-Diffusion,4.000000000000,,,0.500000000000,0.000000000000,14,0.536106750392,0.125677347651,14,4.883875417013,0.003929753477,14,,,0,,,0,,,0,,,0,0.388637033303,0.004012996495,14,14,1,0,0,0.000000000000,
A,DP-Diffusion,5.000000000000,,,0.500000000000,,1,0.373626373626,,1,4.884549963842,,1,0.600000000000,,1,0.538084168579,,1,0.100000000000,,1,0.038084168579,,1,0.386761922170,,1,1,1,0,0,0.000000000000,
A,DP-Diffusion+DP-CR,1.000000000000,True,,0.431509136162,0.208015028190,17,0.409825468649,0.226303090535,17,0.403943620463,0.003725409887,17,0.214279746987,0.425803456199,14,0.536549531055,0.001040253534,15,0.499994032701,0.000022327589,14,0.036549531055,0.001040253534,15,0.387036547608,0.003814548823,17,17,0,0,0,-0.068490863838,
A,DP-Diffusion+DP-CR,1.500000000000,True,,0.440494618900,0.142560740574,14,0.405808477237,0.189918220468,14,0.402754129941,0.004877803112,14,0.000000000000,0.000000000000,14,0.537238860041,0.001491185249,14,0.500000000000,0.000000000000,14,0.037238860041,0.001491185249,14,0.388019863496,0.003776670209,14,14,0,0,0,-0.059505381100,
A,DP-Diffusion+DP-CR,5.000000000000,True,,0.467887856897,0.167193188794,30,0.438461538462,0.195863302644,30,0.402737683858,0.004294091073,30,0.142857142857,0.356348322550,28,0.536832917867,0.001558552482,28,0.500000000000,0.000000000000,28,0.036832917867,0.001558552482,28,0.387541135760,0.003860603681,30,30,0,0,0,-0.032112143103,
A,DP-Diffusion+DP-CR (ClassCond),5.000000000000,True,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,,,0,,,0,,,0,,,0,,,0,0.373050942918,0.001777266775,3,3,1,0,0,0.000000000000,
A,SDV-CTGAN,,,,0.420192638459,0.223175869953,3,0.347985347985,0.182673372012,3,,,0,0.000000000000,0.000000000000,3,0.535372137020,0.003211232191,3,0.500000000000,0.000000000000,3,0.035372137020,0.003211232191,3,0.384197210999,0.007083308440,3,3,0,0,0,-0.079807361541,
A,SDV-GaussianCopula,,,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,,,0,0.000000000000,0.000000000000,3,0.535774664896,0.000000000000,3,0.500000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.383441646708,0.000000000000,3,3,1,0,0,0.000000000000,
A,SDV-TVAE,,,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,,,0,0.000000000000,0.000000000000,3,0.535326852635,0.001811018998,3,0.500000000000,0.000000000000,3,0.035326852635,0.001811018998,3,0.385853563300,0.010097705720,3,3,1,0,0,0.000000000000,
