dataset,method,metric,mean,ci_lo,ci_hi,std,n
A,DP-Diffusion,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,62
A,DP-Diffusion,tstr_f1macro,0.343165649520,0.330392327812,0.355938971229,0.055097635193,62
A,DP-Diffusion,privacy_main,4.884375746682,4.883550143072,4.885256525250,0.003486533646,62
A,DP-Diffusion,pearson_mad,0.388751490074,0.387781425434,0.389668944933,0.003897033473,62
A,DP-Diffusion,mia_auc,0.551211361738,0.447660296575,0.695238095238,0.197698233115,8
A,DP-Diffusion,knn_mia_auc,0.517745818742,0.488572673892,0.547093874532,0.045697525526,8
A,DP-Diffusion,mia_adv_fix,0.129741019215,0.066645258981,0.238053467001,0.151143787581,8
A,DP-Diffusion,knn_mia_adv_fix,0.042444677575,0.029983546673,0.055045057964,0.019729435228,8
A,DP-Diffusion,privacy_adv_primary,4.884375746682,4.883550143072,4.885256525250,0.003486533646,62
A,DP-Diffusion+DP-CR,utility_main,0.451462552234,0.409255041533,0.494681647465,0.172420508192,61
A,DP-Diffusion+DP-CR,tstr_f1macro,0.383019327316,0.336404861375,0.433930518340,0.194303158804,61
A,DP-Diffusion+DP-CR,privacy_main,0.403077539062,0.402084594072,0.404183446194,0.004250070025,61
A,DP-Diffusion+DP-CR,pearson_mad,0.387510384772,0.386553522024,0.388499680483,0.003781396073,61
A,DP-Diffusion+DP-CR,mia_auc,0.124998508175,0.053122090942,0.214284222461,0.333707923681,56
A,DP-Diffusion+DP-CR,knn_mia_auc,0.536858047486,0.536483279469,0.537219839275,0.001421254532,57
A,DP-Diffusion+DP-CR,mia_adv_fix,0.499998508175,0.499995524526,0.500000000000,0.000011163795,56
A,DP-Diffusion+DP-CR,knn_mia_adv_fix,0.036858047486,0.036483279469,0.037219839275,0.001421254532,57
A,DP-Diffusion+DP-CR,privacy_adv_primary,0.403077539062,0.402084594072,0.404183446194,0.004250070025,61
A,DP-Diffusion+DP-CR (ClassCond),utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,DP-Diffusion+DP-CR (ClassCond),tstr_f1macro,0.272000000000,0.272000000000,0.272000000000,0.000000000000,3
A,DP-Diffusion+DP-CR (ClassCond),privacy_main,,,,,0
A,DP-Diffusion+DP-CR (ClassCond),pearson_mad,0.373050942918,0.371874287395,0.375095391734,0.001777266775,3
A,DP-Diffusion+DP-CR (ClassCond),mia_auc,,,,,0
A,DP-Diffusion+DP-CR (ClassCond),knn_mia_auc,,,,,0
A,DP-Diffusion+DP-CR (ClassCond),mia_adv_fix,,,,,0
A,DP-Diffusion+DP-CR (ClassCond),knn_mia_adv_fix,,,,,0
A,DP-Diffusion+DP-CR (ClassCond),privacy_adv_primary,,,,,0
A,SDV-CTGAN,utility_main,0.420192638459,0.176212590299,0.614035087719,0.223175869953,3
A,SDV-CTGAN,tstr_f1macro,0.322764866491,0.152208106473,0.489285714286,0.168575042230,3
A,SDV-CTGAN,privacy_main,,,,,0
A,SDV-CTGAN,pearson_mad,0.384197210999,0.376027256118,0.388617056150,0.007083308440,3
A,SDV-CTGAN,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-CTGAN,knn_mia_auc,0.535372137020,0.531819828523,0.538069073783,0.003211232191,3
A,SDV-CTGAN,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-CTGAN,knn_mia_adv_fix,0.035372137020,0.031819828523,0.038069073783,0.003211232191,3
A,SDV-CTGAN,privacy_adv_primary,,,,,0
A,SDV-GaussianCopula,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-GaussianCopula,tstr_f1macro,0.272000000000,0.272000000000,0.272000000000,0.000000000000,3
A,SDV-GaussianCopula,privacy_main,,,,,0
A,SDV-GaussianCopula,pearson_mad,0.383441646708,0.383441646708,0.383441646708,0.000000000000,3
A,SDV-GaussianCopula,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-GaussianCopula,knn_mia_auc,0.535774664896,0.535774664896,0.535774664896,0.000000000000,3
A,SDV-GaussianCopula,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-GaussianCopula,knn_mia_adv_fix,0.035774664896,0.035774664896,0.035774664896,0.000000000000,3
A,SDV-GaussianCopula,privacy_adv_primary,,,,,0
A,SDV-TVAE,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-TVAE,tstr_f1macro,0.272000000000,0.272000000000,0.272000000000,0.000000000000,3
A,SDV-TVAE,privacy_main,,,,,0
A,SDV-TVAE,pearson_mad,0.385853563300,0.376769567426,0.396725997638,0.010097705720,3
A,SDV-TVAE,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-TVAE,knn_mia_auc,0.535326852635,0.533374592441,0.536952058930,0.001811018998,3
A,SDV-TVAE,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-TVAE,knn_mia_adv_fix,0.035326852635,0.033374592441,0.036952058930,0.001811018998,3
A,SDV-TVAE,privacy_adv_primary,,,,,0
B,DP-Diffusion,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,6
B,DP-Diffusion,tstr_f1macro,0.332867474830,0.331941544885,0.333793404775,0.001434444502,6
B,DP-Diffusion,privacy_main,5.140883696003,5.138840470638,5.142954542785,0.002901221776,6
B,DP-Diffusion,pearson_mad,0.028268550926,0.027943923055,0.028537143591,0.000412176482,6
B,DP-Diffusion,mia_auc,0.499719452058,,,,1
B,DP-Diffusion,knn_mia_auc,0.499879612443,0.494231595149,0.506924930028,0.006461000206,3
B,DP-Diffusion,mia_adv_fix,0.000280547942,,,,1
B,DP-Diffusion,knn_mia_adv_fix,0.004737007576,0.001517687849,0.006924930028,0.002847350040,3
B,DP-Diffusion,privacy_adv_primary,5.140883696003,5.138840470638,5.142954542785,0.002901221776,6
B,DP-Diffusion+DP-CR,utility_main,0.490959933331,0.485049546206,0.496402854278,0.007845505774,6
B,DP-Diffusion+DP-CR,tstr_f1macro,0.469216583291,0.455030594095,0.482706095072,0.019010956384,6
B,DP-Diffusion+DP-CR,privacy_main,0.742851184747,0.742526063641,0.743176068948,0.000456821874,6
B,DP-Diffusion+DP-CR,pearson_mad,0.026949386047,0.026780702634,0.027118069459,0.000236139387,6
B,DP-Diffusion+DP-CR,mia_auc,0.500371330781,0.498612644779,0.502781895507,0.002159715794,3
