dataset,method,utility_main_mean,utility_main_std,utility_main_n,tstr_f1macro_mean,tstr_f1macro_std,tstr_f1macro_n,privacy_main_mean,privacy_main_std,privacy_main_n,pearson_mad_mean,pearson_mad_std,pearson_mad_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,privacy_adv_primary_mean,privacy_adv_primary_std,privacy_adv_primary_n
A,DP-Diffusion,0.500000000000,0.000000000000,62,0.343165649520,0.055097635193,62,4.884375746682,0.003486533646,62,0.388751490074,0.003897033473,62,0.551211361738,0.197698233115,8,0.517745818742,0.045697525526,8,0.129741019215,0.151143787581,8,0.042444677575,0.019729435228,8,4.884375746682,0.003486533646,62
A,DP-Diffusion+DP-CR,0.451462552234,0.172420508192,61,0.383019327316,0.194303158804,61,0.403077539062,0.004250070025,61,0.387510384772,0.003781396073,61,0.124998508175,0.333707923681,56,0.536858047486,0.001421254532,57,0.499998508175,0.000011163795,56,0.036858047486,0.001421254532,57,0.403077539062,0.004250070025,61
A,DP-Diffusion+DP-CR (ClassCond),0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,,,0,0.373050942918,0.001777266775,3,,,0,,,0,,,0,,,0,,,0
A,SDV-CTGAN,0.420192638459,0.223175869953,3,0.322764866491,0.168575042230,3,,,0,0.384197210999,0.007083308440,3,0.000000000000,0.000000000000,3,0.535372137020,0.003211232191,3,0.500000000000,0.000000000000,3,0.035372137020,0.003211232191,3,,,0
A,SDV-GaussianCopula,0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,,,0,0.383441646708,0.000000000000,3,0.000000000000,0.000000000000,3,0.535774664896,0.000000000000,3,0.500000000000,0.000000000000,3,0.035774664896,0.000000000000,3,,,0
A,SDV-TVAE,0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,,,0,0.385853563300,0.010097705720,3,0.000000000000,0.000000000000,3,0.535326852635,0.001811018998,3,0.500000000000,0.000000000000,3,0.035326852635,0.001811018998,3,,,0
B,DP-Diffusion,0.500000000000,0.000000000000,6,0.332867474830,0.001434444502,6,5.140883696003,0.002901221776,6,0.028268550926,0.000412176482,6,0.499719452058,,1,0.499879612443,0.006461000206,3,0.000280547942,,1,0.004737007576,0.002847350040,3,5.140883696003,0.002901221776,6
B,DP-Diffusion+DP-CR,0.490959933331,0.007845505774,6,0.469216583291,0.019010956384,6,0.742851184747,0.000456821874,6,0.026949386047,0.000236139387,6,0.500371330781,0.002159715794,3,0.501439347779,0.000942880196,3,0.001483266224,0.001253428937,3,0.001439347779,0.000942880196,3,0.742851184747,0.000456821874,6
B,SDV-CTGAN,0.511934059924,0.019820552260,5,0.502652714237,0.028609643610,5,,,0,0.038968147145,0.001902718702,5,0.000000000000,0.000000000000,2,0.502422033890,0.001623675226,5,0.500000000000,0.000000000000,2,0.002422033890,0.001623675226,5,,,0
B,SDV-GaussianCopula,0.454509941795,0.000000000000,5,0.409544008484,0.000000000000,5,,,0,0.031081046870,0.000000000000,5,0.000000000000,,1,0.503056949979,0.000676919242,5,0.500000000000,,1,0.003056949979,0.000676919242,5,,,0
B,SDV-TVAE,0.481636001406,0.032368845901,5,0.470750383647,0.033256517196,5,,,0,0.048764969555,0.000571651935,5,0.000000000000,,1,0.501370670390,0.002528150514,5,0.500000000000,,1,0.002552559434,0.000771697538,5,,,0
B,UNKNOWN,0.492909879292,0.023160635679,5,0.392272488064,0.081735217690,5,,,0,0.035430827268,0.009561148615,5,,,0,0.498581572492,0.003472331409,5,,,0,0.003122675130,0.001543739356,5,,,0
C,DP-Diffusion,0.333333333333,0.000000000000,7,0.170542635659,0.000000000000,7,5.111692849070,0.005931731878,7,0.092197024721,0.034134570013,7,0.142857142857,0.377964473009,7,,,0,0.500000000000,0.000000000000,7,,,0,5.111692849070,0.005931731878,7
C,DP-Diffusion+DP-CR,0.340530303030,0.023967833633,54,0.221296179538,0.048972000177,54,0.816877951925,0.004528227342,54,0.042744340022,0.000754634607,54,0.851851851852,0.358582503199,54,,,0,0.500000000000,0.000000000000,54,,,0,0.816877951925,0.004528227342,54
C,SDV-CTGAN,0.333333333333,0.032328164081,3,0.237900096653,0.059823829302,3,,,0,0.064352204195,0.001879735327,3,1.000000000000,0.000000000000,3,,,0,0.500000000000,0.000000000000,3,,,0,,,0
C,SDV-GaussianCopula,0.333333333333,0.000000000000,3,0.158730158730,0.000000000000,3,,,0,0.077127272560,0.000000000000,3,1.000000000000,0.000000000000,3,,,0,0.500000000000,0.000000000000,3,,,0,,,0
C,SDV-TVAE,0.324242424242,0.009090909091,3,0.167730407088,0.008702356509,3,,,0,0.162524645112,0.021266549313,3,1.000000000000,0.000000000000,3,,,0,0.500000000000,0.000000000000,3,,,0,,,0
