dataset,method,epsilon,seed,syn_path,run_dir,privacy_adv_primary
B,DP-Diffusion,3.000000000000,33,outputs\B\dp_diffusion\seed33\train3.0\synth.csv,outputs\B\dp_diffusion\seed33\train3.0,0.005356472309
B,DP-Diffusion+DP-CR,5.000000000000,11,outputs\B\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth_unrepaired.csv,outputs\B\dp_diffusion_dpcr\seed11\train3.0_repair2.0,0.004358693749
B,SDV-CTGAN,,33,outputs\B\baselines_sdv\ctgan\seed33\synth.csv,outputs\B\baselines_sdv\ctgan\seed33,0.004324256213
B,SDV-TVAE,,55,outputs\B\baselines_sdv\tvae\seed55\synth.csv,outputs\B\baselines_sdv\tvae\seed55,0.004107585505
B,DP-Diffusion+DP-CR,5.000000000000,33,outputs\B\dp_diffusion_dpcr\seed33\train3.0_repair2.0\synth.csv,outputs\B\dp_diffusion_dpcr\seed33\train3.0_repair2.0,0.003852489994
B,SDV-GaussianCopula,,55,outputs\B\baselines_sdv\gaussiancopula\seed55\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed55,0.003712763028
B,SDV-GaussianCopula,,22,outputs\B\baselines_sdv\gaussiancopula\seed22\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed22,0.003706738420
B,SDV-GaussianCopula,,44,outputs\B\baselines_sdv\gaussiancopula\seed44\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed44,0.003623487668
B,SDV-CTGAN,,55,outputs\B\baselines_sdv\ctgan\seed55\synth.csv,outputs\B\baselines_sdv\ctgan\seed55,0.003036025674
B,SDV-CTGAN,,11,outputs\B\baselines_sdv\ctgan\seed11\synth.csv,outputs\B\baselines_sdv\ctgan\seed11,0.002978480362
B,DP-Diffusion,3.000000000000,22,outputs\B\dp_diffusion\seed22\train3.0\synth.csv,outputs\B\dp_diffusion\seed22\train3.0,0.000318217172
B,SDV-TVAE,,22,outputs\B\baselines_sdv\tvae\seed22\synth.csv,outputs\B\baselines_sdv\tvae\seed22,0.000398998015
B,DP-Diffusion+DP-CR,5.000000000000,11,outputs\B\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv,outputs\B\dp_diffusion_dpcr\seed11\train3.0_repair2.0,0.000595178781
B,SDV-CTGAN,,22,outputs\B\baselines_sdv\ctgan\seed22\synth.csv,outputs\B\baselines_sdv\ctgan\seed22,0.000780666317
B,SDV-TVAE,,44,outputs\B\baselines_sdv\tvae\seed44\synth.csv,outputs\B\baselines_sdv\tvae\seed44,0.000824624884
B,SDV-GaussianCopula,,33,outputs\B\baselines_sdv\gaussiancopula\seed33\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed33,0.000940885466
B,SDV-GaussianCopula,,11,outputs\B\baselines_sdv\gaussiancopula\seed11\synth.csv,outputs\B\baselines_sdv\gaussiancopula\seed11,0.001077595645
B,SDV-TVAE,,33,outputs\B\baselines_sdv\tvae\seed33\synth.csv,outputs\B\baselines_sdv\tvae\seed33,0.001338144233
B,SDV-TVAE,,11,outputs\B\baselines_sdv\tvae\seed11\synth.csv,outputs\B\baselines_sdv\tvae\seed11,0.001946694595
B,DP-Diffusion+DP-CR,5.000000000000,22,outputs\B\dp_diffusion_dpcr\seed22\train3.0_repair2.0\synth_unrepaired.csv,outputs\B\dp_diffusion_dpcr\seed22\train3.0_repair2.0,0.001991489166
