dataset,method,metric,mean,ci_lo,ci_hi,std,n
B,DP-Diffusion,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
B,DP-Diffusion,tstr_f1macro,0.331941544885,0.331941544885,0.331941544885,0.000000000000,3
B,DP-Diffusion,privacy_main,0.002663309861,0.000318217172,0.005356472309,0.002537098367,3
B,DP-Diffusion,pearson_mad,0.028261918733,0.027550115223,0.028703047493,0.000622303640,3
B,DP-Diffusion,mia_auc,,,,,0
B,DP-Diffusion,knn_mia_auc,0.500907671679,0.497684759899,0.505356472309,0.003980062240,3
B,DP-Diffusion,mia_adv_fix,,,,,0
B,DP-Diffusion,knn_mia_adv_fix,0.002663309861,0.000318217172,0.005356472309,0.002537098367,3
B,DP-Diffusion,privacy_adv_primary,0.002663309861,0.000318217172,0.005356472309,0.002537098367,3
B,DP-Diffusion+DP-CR,utility_main,0.496494003672,0.489950779327,0.502721460474,0.009176386230,6
B,DP-Diffusion+DP-CR,tstr_f1macro,0.406428652779,0.354755605893,0.460685660745,0.081881703160,6
B,DP-Diffusion+DP-CR,privacy_main,0.002556701426,0.001603500778,0.003520317010,0.001361318645,6
B,DP-Diffusion+DP-CR,pearson_mad,0.027521310684,0.026885715756,0.028181627304,0.000909216647,6
B,DP-Diffusion+DP-CR,mia_auc,0.498612644779,0.498612644779,0.498612644779,0.000000000000,2
B,DP-Diffusion+DP-CR,knn_mia_auc,0.501103803510,0.498851456457,0.502775353301,0.002869703198,6
B,DP-Diffusion+DP-CR,mia_adv_fix,0.001387355221,0.001387355221,0.001387355221,0.000000000000,2
B,DP-Diffusion+DP-CR,knn_mia_adv_fix,0.002556701426,0.001603500778,0.003520317010,0.001361318645,6
B,DP-Diffusion+DP-CR,privacy_adv_primary,0.002556701426,0.001603500778,0.003520317010,0.001361318645,6
B,SDV-CTGAN,utility_main,0.495956873315,0.488034688855,0.504945505684,0.010146340256,5
B,SDV-CTGAN,tstr_f1macro,0.415623971900,0.371298562019,0.452283177404,0.051563699739,5
B,SDV-CTGAN,privacy_main,0.002702800326,0.001671300997,0.003680673476,0.001285083752,5
B,SDV-CTGAN,pearson_mad,0.038968147145,0.037487534921,0.040560592531,0.001902718702,5
B,SDV-CTGAN,mia_auc,,,,,0
B,SDV-CTGAN,knn_mia_auc,0.502702800326,0.501671300997,0.503680673476,0.001285083752,5
B,SDV-CTGAN,mia_adv_fix,,,,,0
B,SDV-CTGAN,knn_mia_adv_fix,0.002702800326,0.001671300997,0.003680673476,0.001285083752,5
B,SDV-CTGAN,privacy_adv_primary,0.002702800326,0.001671300997,0.003680673476,0.001285083752,5
B,SDV-GaussianCopula,utility_main,0.457967108090,0.457967108090,0.457967108090,0.000000000000,5
B,SDV-GaussianCopula,tstr_f1macro,0.429695789680,0.429695789680,0.429695789680,0.000000000000,5
B,SDV-GaussianCopula,privacy_main,0.002612294045,0.001522603014,0.003692498113,0.001464603942,5
B,SDV-GaussianCopula,pearson_mad,0.031081046870,0.031081046870,0.031081046870,0.000000000000,5
B,SDV-GaussianCopula,mia_auc,,,,,0
B,SDV-GaussianCopula,knn_mia_auc,0.502612294045,0.501522603014,0.503692498113,0.001464603942,5
B,SDV-GaussianCopula,mia_adv_fix,,,,,0
B,SDV-GaussianCopula,knn_mia_adv_fix,0.002612294045,0.001522603014,0.003692498113,0.001464603942,5
B,SDV-GaussianCopula,privacy_adv_primary,0.002612294045,0.001522603014,0.003692498113,0.001464603942,5
B,SDV-TVAE,utility_main,0.480124223602,0.450712918473,0.510777764756,0.038671083694,5
B,SDV-TVAE,tstr_f1macro,0.476702876066,0.446541537844,0.507746804504,0.039715411334,5
B,SDV-TVAE,privacy_main,0.001723209447,0.000757078006,0.002933689825,0.001452967666,5
B,SDV-TVAE,pearson_mad,0.048764969555,0.048340085303,0.049243835292,0.000571651935,5
B,SDV-TVAE,mia_auc,,,,,0
B,SDV-TVAE,knn_mia_auc,0.501723209447,0.500757078006,0.502933689825,0.001452967666,5
B,SDV-TVAE,mia_adv_fix,,,,,0
B,SDV-TVAE,knn_mia_adv_fix,0.001723209447,0.000757078006,0.002933689825,0.001452967666,5
B,SDV-TVAE,privacy_adv_primary,0.001723209447,0.000757078006,0.002933689825,0.001452967666,5
