dataset,method,epsilon,seed,syn_path,run_dir,privacy_adv_primary
D,DP-Diffusion,0.700000000000,44,outputs\D\dp_diffusion\seed44\train0.7\synth.csv,outputs\D\dp_diffusion\seed44\train0.7,0.030893689845
D,DP-Diffusion+DP-CR,1.000000000000,44,outputs\D\dp_diffusion_dpcr\seed44\train0.7_repair0.3\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed44\train0.7_repair0.3,0.025469386322
D,DP-Diffusion+DP-CR,5.000000000000,44,outputs\D\dp_diffusion_dpcr\seed44\train3.0_repair2.0\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed44\train3.0_repair2.0,0.023418629860
D,DP-Diffusion,3.000000000000,22,outputs\D\dp_diffusion\seed22\train3.0\synth.csv,outputs\D\dp_diffusion\seed22\train3.0,0.023291874400
D,DP-Diffusion+DP-CR,1.000000000000,22,outputs\D\dp_diffusion_dpcr\seed22\train0.7_repair0.3\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed22\train0.7_repair0.3,0.022626488060
D,DP-Diffusion,0.700000000000,11,outputs\D\dp_diffusion\seed11\train0.7\synth.csv,outputs\D\dp_diffusion\seed11\train0.7,0.022343603080
D,DP-Diffusion,3.000000000000,44,outputs\D\dp_diffusion\seed44\train3.0\synth.csv,outputs\D\dp_diffusion\seed44\train3.0,0.021400759575
D,DP-Diffusion+DP-CR,7.000000000000,11,outputs\D\dp_diffusion_dpcr\seed11\train5.0_repair2.0\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed11\train5.0_repair2.0,0.021004209750
D,DP-Diffusion+DP-CR,5.000000000000,33,outputs\D\dp_diffusion_dpcr\seed33\train3.0_repair2.0\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed33\train3.0_repair2.0,0.018240813023
D,DP-Diffusion,5.000000000000,55,outputs\D\dp_diffusion\seed55\train5.0\synth.csv,outputs\D\dp_diffusion\seed55\train5.0,0.017193244605
D,SDV-GaussianCopula,,44,outputs\D\baselines_sdv\gaussiancopula\seed44\synth.csv,outputs\D\baselines_sdv\gaussiancopula\seed44,0.000823271919
D,SDV-GaussianCopula,,33,outputs\D\baselines_sdv\gaussiancopula\seed33\synth.csv,outputs\D\baselines_sdv\gaussiancopula\seed33,0.000823271919
D,SDV-GaussianCopula,,22,outputs\D\baselines_sdv\gaussiancopula\seed22\synth.csv,outputs\D\baselines_sdv\gaussiancopula\seed22,0.000823271919
D,SDV-GaussianCopula,,55,outputs\D\baselines_sdv\gaussiancopula\seed55\synth.csv,outputs\D\baselines_sdv\gaussiancopula\seed55,0.000823271919
D,SDV-GaussianCopula,,11,outputs\D\baselines_sdv\gaussiancopula\seed11\synth.csv,outputs\D\baselines_sdv\gaussiancopula\seed11,0.000823271919
D,DP-Diffusion+DP-CR,1.000000000000,33,outputs\D\dp_diffusion_dpcr\seed33\train0.7_repair0.3\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed33\train0.7_repair0.3,0.001180230618
D,DP-Diffusion+DP-CR,5.000000000000,11,outputs\D\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth_unrepaired.csv,outputs\D\dp_diffusion_dpcr\seed11\train3.0_repair2.0,0.002054108936
D,SDV-CTGAN,,44,outputs\D\baselines_sdv\ctgan\seed44\synth.csv,outputs\D\baselines_sdv\ctgan\seed44,0.002431821048
D,SDV-CTGAN,,11,outputs\D\baselines_sdv\ctgan\seed11\synth.csv,outputs\D\baselines_sdv\ctgan\seed11,0.002515792549
D,DP-Diffusion,3.000000000000,55,outputs\D\dp_diffusion\seed55\train3.0\synth.csv,outputs\D\dp_diffusion\seed55\train3.0,0.002753977870
