dataset,method,metric,mean,ci_lo,ci_hi,std,n
D,DP-Diffusion,utility_main,0.850149731944,0.849005492476,0.851184028066,0.002225417292,15
D,DP-Diffusion,tstr_f1macro,0.842504515643,0.841648219748,0.843245620570,0.001632150141,15
D,DP-Diffusion,privacy_main,0.014202262761,0.010692870777,0.018096704518,0.007655874582,15
D,DP-Diffusion,pearson_mad,0.104423714830,0.104096312084,0.104742837143,0.000667270017,15
D,DP-Diffusion,mia_auc,,,,,0
D,DP-Diffusion,knn_mia_auc,0.514202262761,0.510692870777,0.518096704518,0.007655874582,15
D,DP-Diffusion,mia_adv_fix,,,,,0
D,DP-Diffusion,knn_mia_adv_fix,0.014202262761,0.010692870777,0.018096704518,0.007655874582,15
D,DP-Diffusion,privacy_adv_primary,0.014202262761,0.010692870777,0.018096704518,0.007655874582,15
D,DP-Diffusion+DP-CR,utility_main,0.850103903697,0.848899331935,0.851343241716,0.002519250778,15
D,DP-Diffusion+DP-CR,tstr_f1macro,0.843153316414,0.842527338727,0.843856417543,0.001352443732,15
D,DP-Diffusion+DP-CR,privacy_main,0.013516761574,0.009569838693,0.017292653984,0.007922955849,15
D,DP-Diffusion+DP-CR,pearson_mad,0.104423714830,0.104097882219,0.104754466510,0.000667270017,15
D,DP-Diffusion+DP-CR,mia_auc,0.489198468285,,,,1
D,DP-Diffusion+DP-CR,knn_mia_auc,0.513516761574,0.509569838693,0.517292653984,0.007922955849,15
D,DP-Diffusion+DP-CR,mia_adv_fix,0.010801531715,,,,1
D,DP-Diffusion+DP-CR,knn_mia_adv_fix,0.013516761574,0.009569838693,0.017292653984,0.007922955849,15
D,DP-Diffusion+DP-CR,privacy_adv_primary,0.013516761574,0.009569838693,0.017292653984,0.007922955849,15
D,SDV-CTGAN,utility_main,0.724146942742,0.708313678546,0.743728443933,0.022648375790,5
D,SDV-CTGAN,tstr_f1macro,0.739344526349,0.726621029022,0.754279985919,0.017498627220,5
D,SDV-CTGAN,privacy_main,0.003944074342,0.002771857734,0.005225805113,0.001639733665,5
D,SDV-CTGAN,pearson_mad,0.104120005082,0.101667896699,0.107090511660,0.003542059388,5
D,SDV-CTGAN,mia_auc,,,,,0
D,SDV-CTGAN,knn_mia_auc,0.503944074342,0.502771857734,0.505225805113,0.001639733665,5
D,SDV-CTGAN,mia_adv_fix,,,,,0
D,SDV-CTGAN,knn_mia_adv_fix,0.003944074342,0.002771857734,0.005225805113,0.001639733665,5
D,SDV-CTGAN,privacy_adv_primary,0.003944074342,0.002771857734,0.005225805113,0.001639733665,5
D,SDV-GaussianCopula,utility_main,0.799171535918,0.799171535918,0.799171535918,0.000000000000,5
D,SDV-GaussianCopula,tstr_f1macro,0.772227735105,0.772227735105,0.772227735105,0.000000000000,5
D,SDV-GaussianCopula,privacy_main,0.000823271919,0.000823271919,0.000823271919,0.000000000000,5
D,SDV-GaussianCopula,pearson_mad,0.051554415314,0.051554415314,0.051554415314,0.000000000000,5
D,SDV-GaussianCopula,mia_auc,,,,,0
D,SDV-GaussianCopula,knn_mia_auc,0.500823271919,0.500823271919,0.500823271919,0.000000000000,5
D,SDV-GaussianCopula,mia_adv_fix,,,,,0
D,SDV-GaussianCopula,knn_mia_adv_fix,0.000823271919,0.000823271919,0.000823271919,0.000000000000,5
D,SDV-GaussianCopula,privacy_adv_primary,0.000823271919,0.000823271919,0.000823271919,0.000000000000,5
D,SDV-TVAE,utility_main,0.771244948028,0.747366456094,0.795288184609,0.031891397407,5
D,SDV-TVAE,tstr_f1macro,0.780986570387,0.760112453674,0.801860687100,0.027345261649,5
D,SDV-TVAE,privacy_main,0.006737228270,0.006008429078,0.007473623211,0.000981511461,5
D,SDV-TVAE,pearson_mad,0.060975963537,0.056079158414,0.066014004555,0.006143069432,5
D,SDV-TVAE,mia_auc,,,,,0
D,SDV-TVAE,knn_mia_auc,0.506737228270,0.506008429078,0.507473623211,0.000981511461,5
D,SDV-TVAE,mia_adv_fix,,,,,0
D,SDV-TVAE,knn_mia_adv_fix,0.006737228270,0.006008429078,0.007473623211,0.000981511461,5
D,SDV-TVAE,privacy_adv_primary,0.006737228270,0.006008429078,0.007473623211,0.000981511461,5
