dataset,seed,epsilon_train,epsilon_repair_dpcr,baseline_run_dir,dpcr_run_dir,baseline_syn_path,dpcr_syn_path,dpcr_used_file,utility_main_base,utility_main_dpcr,delta_utility,tstr_balacc_base,tstr_balacc_dpcr,delta_tstr_balacc,tstr_f1macro_base,tstr_f1macro_dpcr,delta_tstr_f1macro,privacy_adv_primary_base,privacy_adv_primary_dpcr,delta_privacy,mia_auc_base,mia_auc_dpcr,delta_mia_auc,knn_mia_auc_base,knn_mia_auc_dpcr,delta_knn_mia_auc,mia_adv_fix_base,mia_adv_fix_dpcr,delta_mia_adv_fix,knn_mia_adv_fix_base,knn_mia_adv_fix_dpcr,delta_knn_mia_adv_fix,pearson_mad_base,pearson_mad_dpcr,delta_pearson_mad,spearman_mad_base,spearman_mad_dpcr,delta_spearman_mad
A,42,0.700000000000,0.300000000000,outputs\A\dp_diffusion\seed42\train0.7,outputs\A\dp_diffusion_dpcr\seed42\train0.7_repair0.3,outputs\A\dp_diffusion\seed42\train0.7\synth.csv,outputs\A\dp_diffusion_dpcr\seed42\train0.7_repair0.3\synth.csv,synth.csv,0.500000000000,0.286635706914,-0.213364293086,0.500000000000,0.286635706914,-0.213364293086,0.385135135135,0.272591789730,-0.112543345405,0.014408163265,0.004644897959,-0.009763265306,0.514408163265,0.504644897959,-0.009763265306,,,,0.014408163265,0.004644897959,-0.009763265306,,,,0.384308040860,0.382649921046,-0.001658119813,0.384308040860,0.382649921046,-0.001658119813
A,42,1.000000000000,0.500000000000,outputs\A\dp_diffusion\seed42\train1.0,outputs\A\dp_diffusion_dpcr\seed42\train1.0_repair0.5,outputs\A\dp_diffusion\seed42\train1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed42\train1.0_repair0.5\synth.csv,synth.csv,0.500000000000,0.393962848297,-0.106037151703,0.500000000000,0.393962848297,-0.106037151703,0.385135135135,0.264717198923,-0.120417936212,0.009395918367,0.001302040816,-0.008093877551,0.509395918367,0.501302040816,-0.008093877551,,,,0.009395918367,0.001302040816,-0.008093877551,,,,0.390164676262,0.386213751134,-0.003950925129,0.390164676262,0.386213751134,-0.003950925129
A,42,3.000000000000,2.000000000000,outputs\A\dp_diffusion\seed42\train3.0,outputs\A\dp_diffusion_dpcr\seed42\train3.0_repair2.0,outputs\A\dp_diffusion\seed42\train3.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed42\train3.0_repair2.0\synth.csv,synth.csv,0.500000000000,0.409958720330,-0.090041279670,0.500000000000,0.409958720330,-0.090041279670,0.385135135135,0.405228758170,0.020093623035,0.016930612245,0.006755102041,-0.010175510204,0.516930612245,0.506755102041,-0.010175510204,,,,0.016930612245,0.006755102041,-0.010175510204,,,,0.384300633459,0.382158792018,-0.002141841441,0.384300633459,0.382158792018,-0.002141841441
B,11,3.000000000000,2.000000000000,outputs\B\dp_diffusion\seed11\train3.0,outputs\B\dp_diffusion_dpcr\seed11\train3.0_repair2.0,outputs\B\dp_diffusion\seed11\train3.0\synth.csv,outputs\B\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv,synth.csv,0.500000000000,0.496152193445,-0.003847806555,0.500000000000,0.484452517676,-0.015547482324,0.331941544885,0.484329677413,0.152388132528,0.002315240101,0.000595178781,-0.001720061320,0.502781895507,0.502781895507,0.000000000000,0.497684759899,0.500595178781,0.002910418882,0.002781895507,0.002781895507,0.000000000000,0.002315240101,0.000595178781,-0.001720061320,0.028532593484,0.026897912639,-0.001634680845,0.028532593484,0.026897912639,-0.001634680845
B,22,3.000000000000,2.000000000000,outputs\B\dp_diffusion\seed22\train3.0,outputs\B\dp_diffusion_dpcr\seed22\train3.0_repair2.0,outputs\B\dp_diffusion\seed22\train3.0\synth.csv,outputs\B\dp_diffusion_dpcr\seed22\train3.0_repair2.0\synth.csv,synth.csv,0.500000000000,0.508164381421,0.008164381421,0.500000000000,0.508164381421,0.008164381421,0.331941544885,0.489591693674,0.157650148789,0.000318217172,0.002201841656,0.001883624485,0.499719452058,0.499719452058,0.000000000000,0.499681782828,0.502201841656,0.002520058828,0.000280547942,0.000280547942,0.000000000000,0.000318217172,0.002201841656,0.001883624485,0.028703047493,0.026875788787,-0.001827258706,0.028703047493,0.026875788787,-0.001827258706
B,33,3.000000000000,2.000000000000,outputs\B\dp_diffusion\seed33\train3.0,outputs\B\dp_diffusion_dpcr\seed33\train3.0_repair2.0,outputs\B\dp_diffusion\seed33\train3.0\synth.csv,outputs\B\dp_diffusion_dpcr\seed33\train3.0_repair2.0\synth.csv,synth.csv,0.500000000000,0.511094183367,0.011094183367,0.500000000000,0.486347122934,-0.013652877066,0.331941544885,0.468825910931,0.136884366046,0.005356472309,0.003852489994,-0.001503982315,0.498612644779,0.498612644779,0.000000000000,0.505356472309,0.503852489994,-0.001503982315,0.001387355221,0.001387355221,0.000000000000,0.005356472309,0.003852489994,-0.001503982315,0.027550115223,0.026568406476,-0.000981708747,0.027550115223,0.026568406476,-0.000981708747
C,11,0.700000000000,0.300000000000,outputs\D\dp_diffusion\seed11\train0.7,outputs\D\dp_diffusion_dpcr\seed11\train0.7_repair0.3,outputs\D\dp_diffusion\seed11\train0.7\synth.csv,outputs\D\dp_diffusion_dpcr\seed11\train0.7_repair0.3\synth.csv,synth.csv,0.844544463276,0.846040795041,0.001496331765,0.844544463276,0.846040795041,0.001496331765,0.837861180905,0.841001476712,0.003140295808,0.022343603080,0.004622104300,-0.017721498780,0.506857268782,0.509581205507,0.002723936726,0.522343603080,0.504622104300,-0.017721498780,0.006857268782,0.009581205507,0.002723936726,0.022343603080,0.004622104300,-0.017721498780,0.104492586709,0.104492586709,0.000000000000,0.104492586709,0.104492586709,0.000000000000
C,11,3.000000000000,2.000000000000,outputs\D\dp_diffusion\seed11\train3.0,outputs\D\dp_diffusion_dpcr\seed11\train3.0_repair2.0,outputs\D\dp_diffusion\seed11\train3.0\synth.csv,outputs\D\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv,synth.csv,0.851738707880,0.852562431109,0.000823723229,0.851738707880,0.852562431109,0.000823723229,0.843567082005,0.844711850102,0.001144768097,0.014773715962,0.001669372592,-0.013104343370,0.489378594948,0.495063762923,0.005685167975,0.514773715962,0.501669372592,-0.013104343370,0.010621405052,0.004936237077,-0.005685167975,0.014773715962,0.001669372592,-0.013104343370,0.104279738209,0.104279738209,0.000000000000,0.104279738209,0.104279738209,0.000000000000
C,11,5.000000000000,2.000000000000,outputs\D\dp_diffusion\seed11\train5.0,outputs\D\dp_diffusion_dpcr\seed11\train5.0_repair2.0,outputs\D\dp_diffusion\seed11\train5.0\synth.csv,outputs\D\dp_diffusion_dpcr\seed11\train5.0_repair2.0\synth.csv,synth.csv,0.853537269032,0.849789032036,-0.003748236995,0.853537269032,0.849789032036,-0.003748236995,0.844986096012,0.843008445003,-0.001977651009,0.005759072035,0.003656272400,-0.002102799635,0.491941567421,0.506142510851,0.014200943429,0.505759072035,0.503656272400,-0.002102799635,0.008058432579,0.006142510851,-0.001915921728,0.005759072035,0.003656272400,-0.002102799635,0.104485528485,0.104485528485,0.000000000000,0.104485528485,0.104485528485,0.000000000000
C,22,0.700000000000,0.300000000000,outputs\D\dp_diffusion\seed22\train0.7,outputs\D\dp_diffusion_dpcr\seed22\train0.7_repair0.3,outputs\D\dp_diffusion\seed22\train0.7\synth.csv,outputs\D\dp_diffusion_dpcr\seed22\train0.7_repair0.3\synth.csv,synth.csv,0.848141585578,0.850763869958,0.002622284380,0.848141585578,0.850763869958,0.002622284380,0.840720141195,0.843289171176,0.002569029981,0.010679865837,0.001110307582,-0.009569558256,0.503923184282,0.499880234931,-0.004042949351,0.510679865837,0.501110307582,-0.009569558256,0.003923184282,0.000119765069,-0.003803419213,0.010679865837,0.001110307582,-0.009569558256,0.105295976515,0.105295976515,0.000000000000,0.105295976515,0.105295976515,0.000000000000
C,22,3.000000000000,2.000000000000,outputs\D\dp_diffusion\seed22\train3.0,outputs\D\dp_diffusion_dpcr\seed22\train3.0_repair2.0,outputs\D\dp_diffusion\seed22\train3.0\synth.csv,outputs\D\dp_diffusion_dpcr\seed22\train3.0_repair2.0\synth.csv,synth.csv,0.851738707880,0.853537269032,0.001798561151,0.851738707880,0.853537269032,0.001798561151,0.843567082005,0.844986096012,0.001419014007,0.023291874400,0.004315592358,-0.018976282042,0.503279646645,0.495546336307,-0.007733310338,0.523291874400,0.504315592358,-0.018976282042,0.003279646645,0.004453663693,0.001174017048,0.023291874400,0.004315592358,-0.018976282042,0.105521118874,0.105521118874,0.000000000000,0.105521118874,0.105521118874,0.000000000000
C,22,5.000000000000,2.000000000000,outputs\D\dp_diffusion\seed22\train5.0,outputs\D\dp_diffusion_dpcr\seed22\train5.0_repair2.0,outputs\D\dp_diffusion\seed22\train5.0\synth.csv,outputs\D\dp_diffusion_dpcr\seed22\train5.0_repair2.0\synth.csv,synth.csv,0.850763869958,0.847990470885,-0.002773399073,0.850763869958,0.847990470885,-0.002773399073,0.843289171176,0.841579043114,-0.001710128061,0.012830877247,0.000655648201,-0.012175229046,0.504007179517,0.489867875176,-0.014139304341,0.512830877247,0.500655648201,-0.012175229046,0.004007179517,0.010132124824,0.006124945307,0.012830877247,0.000655648201,-0.012175229046,0.105330077117,0.105330077117,0.000000000000,0.105330077117,0.105330077117,0.000000000000
