dataset,seed,epsilon_train,epsilon_repair,method,reason,run_dir,syn_path,official_syn_path
A,42,5.0,,DP-Diffusion,no_dpcr_match,outputs\A\dp_diffusion\seed42\train5.0,outputs\A\dp_diffusion\seed42\train5.0\synth.csv,outputs\A\dp_diffusion\seed42\train5.0\synth.csv
A,123,0.7,,DP-Diffusion,no_dpcr_match,outputs\A\dp_diffusion\seed123\train0.7,outputs\A\dp_diffusion\seed123\train0.7\synth.csv,outputs\A\dp_diffusion\seed123\train0.7\synth.csv
A,123,3.0,,DP-Diffusion,no_dpcr_match,outputs\A\dp_diffusion\seed123\train3.0,outputs\A\dp_diffusion\seed123\train3.0\synth.csv,outputs\A\dp_diffusion\seed123\train3.0\synth.csv
A,456,0.7,,DP-Diffusion,no_dpcr_match,outputs\A\dp_diffusion\seed456\train0.7,outputs\A\dp_diffusion\seed456\train0.7\synth.csv,outputs\A\dp_diffusion\seed456\train0.7\synth.csv
A,456,3.0,,DP-Diffusion,no_dpcr_match,outputs\A\dp_diffusion\seed456\train3.0,outputs\A\dp_diffusion\seed456\train3.0\synth.csv,outputs\A\dp_diffusion\seed456\train3.0\synth.csv
A,0,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv
A,0,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv
A,0,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv
A,0,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv
A,1,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv
