dataset,method,epsilon,repaired_flag,synth_kind,utility_mean,utility_std,utility_main_n,utility_acc_mean,utility_acc_std,tstr_acc_n,privacy_mean,privacy_std,privacy_main_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,corr_mean,corr_std,pearson_mad_n,n_seeds,utility_winner,privacy_winner,pareto_winner,delta_vs_baseline_utility,delta_vs_baseline_privacy
A,DP-Diffusion,0.700000000000,,,0.500000000000,,1,0.626373626374,,1,0.040011270781,0.028111458971,3,0.469896964634,0.073907661221,3,0.516282252546,0.052857725904,3,0.065023670287,0.021897829759,3,0.040011270781,0.028111458971,3,0.384308040860,,1,3,0,0,0,0.000000000000,0.004236605885
A,DP-Diffusion,1.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.048710904480,,1,1.000000000000,,1,0.548710904480,,1,0.500000000000,,1,0.048710904480,,1,0.390164676262,,1,1,0,0,0,0.000000000000,0.012936239585
A,DP-Diffusion,3.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.044242845067,0.023005453558,3,0.466666666667,0.093798645732,3,0.502108239746,0.058810950431,3,0.080952380953,0.025197631534,3,0.044242845067,0.023005453558,3,0.384300633459,,1,3,0,0,0,0.000000000000,0.008468180171
A,DP-Diffusion,5.000000000000,,,0.500000000000,,1,0.626373626374,,1,0.038084168579,,1,0.600000000000,,1,0.538084168579,,1,0.100000000000,,1,0.038084168579,,1,0.386761922170,,1,1,0,0,0,0.000000000000,0.002309503683
A,DP-Diffusion+DP-CR,1.000000000000,False,,0.500000000000,0.000000000000,4,0.626373626374,0.000000000000,4,0.026282051282,0.014176313538,15,0.112925170068,0.226943443627,14,0.506817815884,0.029853815514,15,0.406122448980,0.187703524719,14,0.026282051282,0.014176313538,15,0.391585304466,0.006490156733,4,15,0,1,1,0.000000000000,-0.009492613613
A,DP-Diffusion+DP-CR,1.000000000000,True,,0.597845717234,0.334869684669,4,0.631868131868,0.293566377587,4,0.036549531055,0.001040253534,15,0.214279746987,0.425803456199,14,0.536549531055,0.001040253534,15,0.499994032701,0.000022327589,14,0.036549531055,0.001040253534,15,0.385602091176,0.002863187643,4,15,0,0,1,0.097845717234,0.000774866159
A,DP-Diffusion+DP-CR,1.500000000000,False,,0.500000000000,,1,0.626373626374,,1,0.031279650491,0.020876497088,14,0.000000000000,0.000000000000,14,0.501100841858,0.038577226490,14,0.500000000000,0.000000000000,14,0.031279650491,0.020876497088,14,0.390164676262,,1,14,0,0,0,0.000000000000,-0.004495014405
A,DP-Diffusion+DP-CR,1.500000000000,True,,0.393962848297,,1,0.307692307692,,1,0.037238860041,0.001491185249,14,0.000000000000,0.000000000000,14,0.537238860041,0.001491185249,14,0.500000000000,0.000000000000,14,0.037238860041,0.001491185249,14,0.386213751134,,1,14,0,0,0,-0.106037151703,0.001464195146
A,DP-Diffusion+DP-CR,5.000000000000,False,,0.500000000000,0.000000000000,4,0.626373626374,0.000000000000,4,0.033409633930,0.019235780891,28,0.076190476190,0.192074423581,28,0.508823446961,0.038037128080,28,0.438775510204,0.153313473172,28,0.033409633930,0.019235780891,28,0.391570594572,0.006430716809,4,28,0,0,0,0.000000000000,-0.002365030966
A,DP-Diffusion+DP-CR,5.000000000000,True,,0.616228070175,0.272599411328,4,0.645604395604,0.230747426146,4,0.036832917867,0.001558552482,28,0.142857142857,0.356348322550,28,0.536832917867,0.001558552482,28,0.500000000000,0.000000000000,28,0.036832917867,0.001558552482,28,0.385200057178,0.002803213587,4,28,1,0,1,0.116228070175,0.001058252972
A,SDV-CTGAN,,,,0.391468868249,0.172809385141,3,0.351648351648,0.097672466124,3,0.035372137020,0.003211232191,3,0.000000000000,0.000000000000,3,0.535372137020,0.003211232191,3,0.500000000000,0.000000000000,3,0.035372137020,0.003211232191,3,0.384197210999,0.007083308440,3,3,0,0,0,-0.108531131751,-0.000402527875
A,SDV-GaussianCopula,,,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,0.035774664896,0.000000000000,3,0.000000000000,0.000000000000,3,0.535774664896,0.000000000000,3,0.500000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.383441646708,0.000000000000,3,3,0,0,0,0.000000000000,0.000000000000
A,SDV-TVAE,,,,0.500000000000,0.000000000000,3,0.373626373626,0.000000000000,3,0.035326852635,0.001811018998,3,0.000000000000,0.000000000000,3,0.535326852635,0.001811018998,3,0.500000000000,0.000000000000,3,0.035326852635,0.001811018998,3,0.385853563300,0.010097705720,3,3,0,0,0,0.000000000000,-0.000447812261
