dataset,method,metric,mean,ci_lo,ci_hi,std,n
A,DP-Diffusion,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,4
A,DP-Diffusion,tstr_f1macro,0.385135135135,0.385135135135,0.385135135135,0.000000000000,4
A,DP-Diffusion,privacy_main,0.042444677575,0.029912223765,0.055103786152,0.019729435228,8
A,DP-Diffusion,pearson_mad,0.386383818188,0.384304337159,0.388700517412,0.002774068044,4
A,DP-Diffusion,mia_auc,0.551211361738,0.448871136174,0.684523809524,0.197698233115,8
A,DP-Diffusion,knn_mia_auc,0.517745818742,0.488103414443,0.546679569572,0.045697525526,8
A,DP-Diffusion,mia_adv_fix,0.129741019215,0.066624895573,0.238053467001,0.151143787581,8
A,DP-Diffusion,knn_mia_adv_fix,0.042444677575,0.029912223765,0.055103786152,0.019729435228,8
A,DP-Diffusion,privacy_adv_primary,0.042444677575,0.029912223765,0.055103786152,0.019729435228,8
A,DP-Diffusion+DP-CR,utility_main,0.541680999885,0.460595115239,0.629600963192,0.192758276396,18
A,DP-Diffusion+DP-CR,tstr_f1macro,0.470228539043,0.380843945082,0.575675677555,0.218460715478,18
A,DP-Diffusion+DP-CR,privacy_main,0.033934423972,0.031489600083,0.036316813007,0.013322022728,114
A,DP-Diffusion+DP-CR,pearson_mad,0.388456145387,0.386377204939,0.390847760525,0.005198983969,18
A,DP-Diffusion+DP-CR,mia_auc,0.095662519394,0.048805272109,0.150011263277,0.268153468356,112
A,DP-Diffusion+DP-CR,knn_mia_auc,0.521628458297,0.516023019298,0.527010739285,0.029449654329,114
A,DP-Diffusion+DP-CR,mia_adv_fix,0.472958437761,0.452295899720,0.489201332945,0.105655320000,112
A,DP-Diffusion+DP-CR,knn_mia_adv_fix,0.033934423972,0.031489600083,0.036316813007,0.013322022728,114
A,DP-Diffusion+DP-CR,privacy_adv_primary,0.033934423972,0.031489600083,0.036316813007,0.013322022728,114
A,SDV-CTGAN,utility_main,0.391468868249,0.225232198142,0.570175438596,0.172809385141,3
A,SDV-CTGAN,tstr_f1macro,0.314464863768,0.225232198142,0.413675213675,0.094616902103,3
A,SDV-CTGAN,privacy_main,0.035372137020,0.031819828523,0.038069073783,0.003211232191,3
A,SDV-CTGAN,pearson_mad,0.384197210999,0.376027256118,0.388617056150,0.007083308440,3
A,SDV-CTGAN,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-CTGAN,knn_mia_auc,0.535372137020,0.531819828523,0.538069073783,0.003211232191,3
A,SDV-CTGAN,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-CTGAN,knn_mia_adv_fix,0.035372137020,0.031819828523,0.038069073783,0.003211232191,3
A,SDV-CTGAN,privacy_adv_primary,0.035372137020,0.031819828523,0.038069073783,0.003211232191,3
A,SDV-GaussianCopula,utility_main,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-GaussianCopula,tstr_f1macro,0.272000000000,0.272000000000,0.272000000000,0.000000000000,3
A,SDV-GaussianCopula,privacy_main,0.035774664896,0.035774664896,0.035774664896,0.000000000000,3
A,SDV-GaussianCopula,pearson_mad,0.383441646708,0.383441646708,0.383441646708,0.000000000000,3
A,SDV-GaussianCopula,mia_auc,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3
A,SDV-GaussianCopula,knn_mia_auc,0.535774664896,0.535774664896,0.535774664896,0.000000000000,3
A,SDV-GaussianCopula,mia_adv_fix,0.500000000000,0.500000000000,0.500000000000,0.000000000000,3
A,SDV-GaussianCopula,knn_mia_adv_fix,0.035774664896,0.035774664896,0.035774664896,0.000000000000,3
