dataset,method,utility_main_mean,utility_main_std,utility_main_n,tstr_f1macro_mean,tstr_f1macro_std,tstr_f1macro_n,privacy_main_mean,privacy_main_std,privacy_main_n,pearson_mad_mean,pearson_mad_std,pearson_mad_n,mia_auc_mean,mia_auc_std,mia_auc_n,knn_mia_auc_mean,knn_mia_auc_std,knn_mia_auc_n,mia_adv_fix_mean,mia_adv_fix_std,mia_adv_fix_n,knn_mia_adv_fix_mean,knn_mia_adv_fix_std,knn_mia_adv_fix_n,privacy_adv_primary_mean,privacy_adv_primary_std,privacy_adv_primary_n
A,DP-Diffusion,0.500000000000,0.000000000000,4,0.385135135135,0.000000000000,4,0.042444677575,0.019729435228,8,0.386383818188,0.002774068044,4,0.551211361738,0.197698233115,8,0.517745818742,0.045697525526,8,0.129741019215,0.151143787581,8,0.042444677575,0.019729435228,8,0.042444677575,0.019729435228,8
A,DP-Diffusion+DP-CR,0.541680999885,0.192758276396,18,0.470228539043,0.218460715478,18,0.033934423972,0.013322022728,114,0.388456145387,0.005198983969,18,0.095662519394,0.268153468356,112,0.521628458297,0.029449654329,114,0.472958437761,0.105655320000,112,0.033934423972,0.013322022728,114,0.033934423972,0.013322022728,114
A,SDV-CTGAN,0.391468868249,0.172809385141,3,0.314464863768,0.094616902103,3,0.035372137020,0.003211232191,3,0.384197210999,0.007083308440,3,0.000000000000,0.000000000000,3,0.535372137020,0.003211232191,3,0.500000000000,0.000000000000,3,0.035372137020,0.003211232191,3,0.035372137020,0.003211232191,3
A,SDV-GaussianCopula,0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.383441646708,0.000000000000,3,0.000000000000,0.000000000000,3,0.535774664896,0.000000000000,3,0.500000000000,0.000000000000,3,0.035774664896,0.000000000000,3,0.035774664896,0.000000000000,3
A,SDV-TVAE,0.500000000000,0.000000000000,3,0.272000000000,0.000000000000,3,0.035326852635,0.001811018998,3,0.385853563300,0.010097705720,3,0.000000000000,0.000000000000,3,0.535326852635,0.001811018998,3,0.500000000000,0.000000000000,3,0.035326852635,0.001811018998,3,0.035326852635,0.001811018998,3
B,DP-Diffusion,0.500000000000,0.000000000000,3,0.331941544885,0.000000000000,3,0.004737007576,0.002847350040,3,0.028261918733,0.000622303640,3,0.499719452058,,1,0.499879612443,0.006461000206,3,0.000280547942,,1,0.004737007576,0.002847350040,3,0.004737007576,0.002847350040,3
B,DP-Diffusion+DP-CR,0.496494003672,0.009176386230,6,0.406428652779,0.081881703160,6,0.002288751701,0.001616441979,6,0.027521310684,0.000909216647,6,0.500371330781,0.001931708531,6,0.499769732835,0.002972426336,6,0.001483266224,0.001121100923,6,0.002288751701,0.001616441979,6,0.002288751701,0.001616441979,6
B,SDV-CTGAN,0.495956873315,0.010146340256,5,0.415623971900,0.051563699739,5,0.002422033890,0.001623675226,5,0.038968147145,0.001902718702,5,0.000000000000,0.000000000000,2,0.502422033890,0.001623675226,5,0.500000000000,0.000000000000,2,0.002422033890,0.001623675226,5,0.002422033890,0.001623675226,5
B,SDV-GaussianCopula,0.457967108090,0.000000000000,5,0.429695789680,0.000000000000,5,0.003056949979,0.000676919242,5,0.031081046870,0.000000000000,5,0.000000000000,,1,0.503056949979,0.000676919242,5,0.500000000000,,1,0.003056949979,0.000676919242,5,0.003056949979,0.000676919242,5
B,SDV-TVAE,0.480124223602,0.038671083694,5,0.476702876066,0.039715411334,5,0.002552559434,0.000771697538,5,0.048764969555,0.000571651935,5,0.000000000000,,1,0.501370670390,0.002528150514,5,0.500000000000,,1,0.002552559434,0.000771697538,5,0.002552559434,0.000771697538,5
C,DP-Diffusion,0.850149731944,0.002225417292,15,0.842504515643,0.001632150141,15,0.009377509367,0.006866079932,15,0.104423714830,0.000667270017,15,0.501311177328,0.010140277887,15,0.497954575569,0.011699546888,15,0.007584099031,0.006560502576,15,0.009377509367,0.006866079932,15,0.009377509367,0.006866079932,15
C,DP-Diffusion+DP-CR,0.850103903697,0.002519250778,15,0.843153316414,0.001352443732,15,0.007065589831,0.006241845283,15,0.104423714830,0.000667270017,15,,,0,0.501007402583,0.009558333503,15,,,0,0.007065589831,0.006241845283,15,0.007065589831,0.006241845283,15
C,SDV-CTGAN,0.724146942742,0.022648375790,5,0.739344526349,0.017498627220,5,0.008194947981,0.000581606554,5,0.104120005082,0.003542059388,5,,,0,0.508194947981,0.000581606554,5,,,0,0.008194947981,0.000581606554,5,0.008194947981,0.000581606554,5
C,SDV-GaussianCopula,0.799171535918,0.000000000000,5,0.772227735105,0.000000000000,5,0.008470425589,0.000000000000,5,0.051554415314,0.000000000000,5,,,0,0.508470425589,0.000000000000,5,,,0,0.008470425589,0.000000000000,5,0.008470425589,0.000000000000,5
C,SDV-TVAE,0.771244948028,0.031891397407,5,0.780986570387,0.027345261649,5,0.011247838851,0.000337995869,5,0.060975963537,0.006143069432,5,,,0,0.511247838851,0.000337995869,5,,,0,0.011247838851,0.000337995869,5,0.011247838851,0.000337995869,5
