Dataset,Method,Epsilon,Attacker,MIA_Mean,MIA_Std,CI_95_Lower,CI_95_Upper,All_Seeds
A,DP-CTGAN,0.1,LogisticRegression,0.4941262002238136,0.0047295177396366106,0.48910154995641925,0.4999874117305826,[0.489 0.493 0.5  ]
A,DP-CTGAN,0.1,RandomForest,1.0,0.0,1.0,1.0,[1. 1. 1.]
A,DP-CTGAN,0.1,SVM,1.0,0.0,1.0,1.0,[1. 1. 1.]
A,DP-Diffusion,0.1,LogisticRegression,0.49130824712741245,0.014531959863042388,0.47930664966574626,0.5102985452080112,[0.479 0.512 0.483]
A,DP-Diffusion,0.1,RandomForest,1.0,0.0,1.0,1.0,[1. 1. 1.]
A,DP-Diffusion,0.1,SVM,1.0,0.0,1.0,1.0,[1. 1. 1.]
A,DP-CTGAN,1.0,LogisticRegression,0.43975488223248665,0.0006162588563009005,0.4389519010818906,0.4402855098221563,[0.44  0.44  0.439]
A,DP-CTGAN,1.0,RandomForest,0.8617209719842543,0.0028054256295471304,0.8580511678319246,0.8639866988894876,[0.858 0.863 0.864]
A,DP-CTGAN,1.0,SVM,0.9077328962787651,0.003321668934508378,0.903694519974061,0.9113884951692794,[0.912 0.908 0.903]
A,DP-Diffusion,1.0,LogisticRegression,0.43391948793902535,0.0014948937458294932,0.43196211984410327,0.43502361189369604,[0.435 0.432 0.435]
A,DP-Diffusion,1.0,RandomForest,0.7761966675236399,0.00680003802697433,0.7705859820390389,0.7850833684545394,[0.772 0.77  0.786]
A,DP-Diffusion,1.0,SVM,0.8212911197340209,0.003000083879974838,0.8174324467150822,0.8241270878094175,[0.824 0.822 0.817]
A,DP-CTGAN,10.0,LogisticRegression,0.4132779360265591,0.003771526295014001,0.40833926208679844,0.41618990514991544,[0.416 0.408 0.416]
A,DP-CTGAN,10.0,RandomForest,0.07234112178330467,0.0033883623509237937,0.06832665007088003,0.07620610905369327,[0.073 0.076 0.068]
A,DP-CTGAN,10.0,SVM,0.20646909088091156,0.0042639185339805345,0.20218437371083392,0.21186891574631264,[0.212 0.205 0.202]
A,DP-Diffusion,10.0,LogisticRegression,0.4130165320952896,0.003770055590348459,0.40809530155668416,0.41618801330160904,[0.415 0.408 0.416]
A,DP-Diffusion,10.0,RandomForest,0.06626630765805676,0.003737933541813422,0.061378082787806675,0.06930707224850605,[0.068 0.069 0.061]
A,DP-Diffusion,10.0,SVM,0.20182973305766752,0.004196699543100929,0.19780774271324844,0.20721187793154494,[0.208 0.2   0.198]
B,DP-CTGAN,0.1,LogisticRegression,0.5006561049670027,0.014013595217920328,0.4904717096841856,0.5190003921131756,[0.49  0.491 0.52 ]
B,DP-CTGAN,0.1,RandomForest,1.0,0.0,1.0,1.0,[1. 1. 1.]
B,DP-CTGAN,0.1,SVM,1.0,0.0,1.0,1.0,[1. 1. 1.]
B,DP-Diffusion,0.1,LogisticRegression,0.5223154949018537,0.0047734006609815565,0.5162135922583495,0.5269541088084182,[0.527 0.524 0.516]
B,DP-Diffusion,0.1,RandomForest,1.0,0.0,1.0,1.0,[1. 1. 1.]
B,DP-Diffusion,0.1,SVM,1.0,0.0,1.0,1.0,[1. 1. 1.]
B,DP-CTGAN,1.0,LogisticRegression,0.46026831888442005,0.0028698052472023033,0.4571217258509341,0.4637652753182954,[0.457 0.46  0.464]
B,DP-CTGAN,1.0,RandomForest,0.9511548135621309,0.003635976938339913,0.9465466768219372,0.9547995548640654,[0.946 0.955 0.952]
B,DP-CTGAN,1.0,SVM,0.9902504747709232,0.000377972581821597,0.98979027354124,0.9906654541650316,[0.991 0.99  0.99 ]
B,DP-Diffusion,1.0,LogisticRegression,0.4470462292445953,0.004713008597865788,0.4422950652006055,0.45300870047008407,[0.442 0.446 0.453]
B,DP-Diffusion,1.0,RandomForest,0.8673428212937783,0.006136070694416393,0.8593371058926436,0.8725412396536365,[0.859 0.871 0.873]
B,DP-Diffusion,1.0,SVM,0.9578775607169271,0.0008274047295881926,0.9567940227184802,0.958509234810686,[0.959 0.957 0.958]
B,DP-CTGAN,10.0,LogisticRegression,0.39006137940401553,0.010090881428127429,0.379068022995933,0.402403949957042,[0.379 0.388 0.403]
B,DP-CTGAN,10.0,RandomForest,0.056692276963446336,0.003657714501381016,0.05282709320062542,0.0612365264871064,[0.056 0.062 0.053]
B,DP-CTGAN,10.0,SVM,0.13278778409777672,0.007876843834138308,0.12708673230602344,0.143097997657797,[0.127 0.144 0.127]
B,DP-Diffusion,10.0,LogisticRegression,0.3894599316008749,0.010036270753759567,0.3784115592278546,0.4016595406253028,[0.378 0.388 0.402]
B,DP-Diffusion,10.0,RandomForest,0.05601726443975879,0.002551493796489828,0.05277662419931935,0.058556774978211386,[0.057 0.059 0.053]
B,DP-Diffusion,10.0,SVM,0.1274270860264039,0.007276038905304176,0.12203756416861737,0.13695442623936985,[0.123 0.138 0.122]
C,DP-CTGAN,0.1,LogisticRegression,0.5138232514177693,0.02065662836948083,0.4954080025204789,0.5406407529930687,[0.504 0.495 0.543]
C,DP-CTGAN,0.1,RandomForest,1.0,0.0,1.0,1.0,[1. 1. 1.]
C,DP-CTGAN,0.1,SVM,1.0,0.0,1.0,1.0,[1. 1. 1.]
C,DP-Diffusion,0.1,LogisticRegression,0.47970489392984667,0.020939172196298834,0.4571203528670448,0.5054584120982987,[0.476 0.456 0.507]
C,DP-Diffusion,0.1,RandomForest,1.0,0.0,1.0,1.0,[1. 1. 1.]
C,DP-Diffusion,0.1,SVM,1.0,0.0,1.0,1.0,[1. 1. 1.]
C,DP-CTGAN,1.0,LogisticRegression,0.411231884057971,0.02878115016816647,0.38871494959042224,0.44891304347826083,[0.393 0.388 0.452]
C,DP-CTGAN,1.0,RandomForest,0.8824301617307287,0.0039268217100887825,0.8785079946439824,0.8874123739760553,[0.878 0.881 0.888]
C,DP-CTGAN,1.0,SVM,0.9873976055450536,0.0012061588556327443,0.9863913831127915,0.9889729048519219,[0.986 0.987 0.989]
C,DP-Diffusion,1.0,LogisticRegression,0.3937066792690611,0.027217503218179038,0.3711661153119093,0.4292690611216131,[0.371 0.378 0.432]
C,DP-Diffusion,1.0,RandomForest,0.7517919029615627,0.01100319361434066,0.7420053560176434,0.766080852236925,[0.746 0.742 0.767]
C,DP-Diffusion,1.0,SVM,0.9508769166141566,0.0038534953770636743,0.9473259294265911,0.9558561751732828,[0.947 0.949 0.956]
C,DP-CTGAN,10.0,LogisticRegression,0.312631274942239,0.016188750083875984,0.2914540012602395,0.32407844990548207,[0.29  0.324 0.324]
C,DP-CTGAN,10.0,RandomForest,0.055588374291115315,0.019704803930428887,0.038930568683049775,0.08130119722747321,[0.039 0.045 0.083]
