dataset,epsilon_target,epsilon_actual,ks_mean,nn_distance,fit_time,n_samples
A,1.0,inf,0.7960952380952382,7.539457952904582,0.20549821853637695,700
A,2.0,inf,0.7960952380952382,7.539457952904582,0.23586606979370117,700
A,5.0,inf,0.7960952380952382,7.539457952904582,0.3054380416870117,700
A,10.0,inf,0.7960952380952382,7.539457952904582,0.20152521133422852,700
B,1.0,inf,0.9325246067253572,9457.590162563558,6.001981735229492,1000
B,2.0,inf,0.9325246067253572,9457.590162563558,5.915232419967651,1000
B,5.0,inf,0.9325246067253572,9457.590162563558,5.878262758255005,1000
B,10.0,inf,0.9325246067253572,9457.590162563558,5.794321775436401,1000
C,1.0,inf,0.7165075998586072,3.8257727379321893,0.11472797393798828,276
C,2.0,inf,0.7165075998586072,3.8257727379321893,0.11461734771728516,276
C,5.0,inf,0.7165075998586072,3.8257727379321893,0.10467982292175293,276
C,10.0,inf,0.7165075998586072,3.8257727379321893,0.11777830123901367,276
