Dataset,Method,Epsilon,NN_mean,NN_std,NN_min
A,CTGAN,inf,1.689,0.796,0.411
A,DP-CTGAN,1.0,10.0,0.0,10.0
A,DP-Diffusion,0.13,2.093,0.0,2.092
A,Non-Private Diffusion,inf,1.661,0.001,1.659
A,SDV Gaussian Copula,inf,6.28,1.343,0.455
B,CTGAN,inf,4.706,1.124,0.035
B,DP-CTGAN,1.0,9.642,0.574,7.293
B,DP-Diffusion,0.13,6.353,0.0,6.352
B,DP-Diffusion,1.0,6.067,0.0,6.067
B,Non-Private Diffusion,inf,3.102,0.002,3.096
B,SDV Gaussian Copula,inf,8.713,0.48,7.51
C,CTGAN,inf,5.834,0.951,2.968
C,DP-CTGAN,1.0,10.0,0.0,10.0
C,Non-Private Diffusion,inf,4.727,0.0,4.727
C,SDV Gaussian Copula,inf,10.0,0.0,10.0
