Dataset,Method,Epsilon,MIA_AUC,MIA_Advantage,Identifiability,K_Anonymity,Delta_Presence,NN_Distance,Utility_Score,Mean_Error,Correlation_Error
A,DP-CTGAN,0.1,0.48327551020408166,0.01672448979591834,0.0,1,0.0,45.67831146626957,0.07232643414447912,0.39593473318748035,0.00014627069282530035
A,DP-CTGAN,1.0,0.4846224489795918,0.01537755102040822,0.0,1,0.0,4.074558027627431,0.5648681564140056,0.04801062152200935,0.03105027408655181
A,DP-CTGAN,10.0,0.3902448979591837,0.10975510204081629,0.0,1,0.0,0.49004542140998514,0.9632313969212236,0.004296968397114881,0.0055253833305018065
A,DP-Diffusion,0.1,0.5423061224489796,0.04230612244897958,0.0,1,0.0,31.58875520182271,0.10159025670428452,0.3405775765863153,0.0386146443159245
A,DP-Diffusion,1.0,0.4554387755102042,0.044561224489795825,0.0,1,0.0,3.1309611677097435,0.717028742564128,0.03237181448357855,0.028184147677320193
A,DP-Diffusion,10.0,0.3743877551020408,0.1256122448979592,0.0,1,0.0,0.518530512870792,0.8737704603699509,0.004765468970521478,0.004422902555605769
B,DP-CTGAN,0.1,0.51036,0.010360000000000036,0.0,1,0.0,73.36532985438613,0.07849794977254146,0.293257355547142,0.03407306179561794
B,DP-CTGAN,1.0,0.4404450000000001,0.059554999999999914,0.0,1,0.0,7.6346253459998055,0.5710188268622931,0.03686735636181664,0.02594426855900425
B,DP-CTGAN,10.0,0.352915,0.14708500000000002,0.0,1,0.0,0.8292460506937062,0.9682463990032721,0.0025141480172549075,0.004376853656845458
B,DP-Diffusion,0.1,0.4760599999999999,0.023940000000000072,0.0,1,0.0,54.81411408124097,0.10293006481466994,0.21615133555920374,0.033433840416899105
B,DP-Diffusion,1.0,0.4470549999999999,0.052945000000000075,0.0,1,0.0,5.761659154059887,0.7142548251821605,0.0282321098403254,0.024615884135396438
B,DP-Diffusion,10.0,0.34834000000000004,0.15165999999999996,0.0,1,0.0,0.851987029749819,0.8801224900149452,0.0027677927466675713,0.0034199335674685847
C,DP-CTGAN,0.1,0.5376328217237308,0.037632821723730836,0.0,1,0.0,73.8738451816647,0.076475506374191,0.6079074256007231,0.06260594613040726
C,DP-CTGAN,1.0,0.4207190082644628,0.07928099173553721,0.0,1,0.0,7.5844563120309605,0.5540294992470388,0.06459549411868655,0.05220327489188403
C,DP-CTGAN,10.0,0.24476505312868949,0.25523494687131054,0.0,1,0.0,0.8354045818263196,0.9449994536775606,0.006224111048214385,0.008290084413582624
C,DP-Diffusion,0.1,0.4944628099173555,0.0055371900826445275,0.0,1,0.0,55.03407374657693,0.10118110786124168,0.40369833393317617,0.0632644065649405
C,DP-Diffusion,1.0,0.3708736717827627,0.1291263282172373,0.0,1,0.0,5.751297580314867,0.6954690152766778,0.043815107231927115,0.045072140949043424
C,DP-Diffusion,10.0,0.23312868949232585,0.26687131050767415,0.0,1,0.0,0.8663863039274574,0.8620287402004009,0.0068835137116570605,0.006477609477633166
